HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N3.HOG0000022	OG0000004	n9			WP_012597044.1			
N3.HOG0000023	OG0000004	n13			WP_203427746.1		WP_171816450.1	WP_172582107.1
N3.HOG0000024	OG0000005	n1			WP_012594914.1		WP_044106509.1	WP_119260956.1
N3.HOG0000025	OG0000005	n7			WP_012593970.1		WP_044107588.1	WP_119260937.1
N3.HOG0000026	OG0000005	n12			WP_015957337.1		WP_044105651.1	WP_119259336.1
N3.HOG0000027	OG0000006	n1			WP_012593655.1		WP_044106285.1	WP_119259854.1
N3.HOG0000028	OG0000006	n7			WP_012595157.1		WP_195910197.1	WP_232014621.1
N3.HOG0000029	OG0000006	n12			WP_012593979.1		WP_044106813.1	WP_119260741.1
N3.HOG0000030	OG0000007	n1			WP_012595323.1			
N3.HOG0000031	OG0000007	n4			WP_012595742.1, WP_012594350.1, WP_012596081.1, WP_012595666.1			
N3.HOG0000032	OG0000007	n8			WP_012594578.1, WP_012595080.1			
N3.HOG0000033	OG0000007	n10			WP_012593644.1			
N3.HOG0000034	OG0000007	n11			WP_012596642.1, WP_012594194.1			
N3.HOG0000035	OG0000007	n13			WP_012595327.1, WP_012596554.1, WP_012593459.1, WP_012595205.1			
N3.HOG0000036	OG0000008	n1			WP_012595034.1			
N3.HOG0000037	OG0000008	n6			WP_012595352.1			
N3.HOG0000038	OG0000008	n7			WP_012596978.1			
N3.HOG0000039	OG0000008	n9			WP_012595457.1			
N3.HOG0000040	OG0000008	n10			WP_012594683.1			
N3.HOG0000041	OG0000009	n1			WP_241392710.1		WP_232509908.1	WP_232014601.1
N3.HOG0000042	OG0000009	n7			WP_012596758.1		WP_044107246.1	WP_119260356.1
N3.HOG0000043	OG0000009	n11			WP_012594295.1		WP_044106882.1	WP_119260673.1
N3.HOG0000044	OG0000010	n2			WP_012596619.1			WP_232014554.1
N3.HOG0000045	OG0000010	n6			WP_012595805.1		WP_171816378.1, WP_044105555.1	WP_232014529.1
N3.HOG0000046	OG0000010	n11			WP_012596210.1		WP_052470609.1, WP_044106279.1	WP_232014569.1
N3.HOG0000047	OG0000011	n1			WP_012596523.1		WP_044106088.1	WP_119259714.1
N3.HOG0000048	OG0000011	n7			WP_012596524.1		WP_044106087.1	WP_119259713.1
N3.HOG0000049	OG0000012	n4			WP_012596142.1		WP_044105968.1	WP_119259605.1
N3.HOG0000050	OG0000012	n7			WP_012594471.1, WP_157861323.1		WP_044105796.1	WP_119259430.1
N3.HOG0000051	OG0000012	n11			WP_012796780.1		WP_044105915.1	WP_119259554.1
N3.HOG0000052	OG0000013	n1					WP_044105701.1	WP_119259368.1
N3.HOG0000053	OG0000013	n9			WP_012594852.1			
N3.HOG0000054	OG0000013	n11			WP_012593716.1			
N3.HOG0000055	OG0000014	n1			WP_015785365.1			
N3.HOG0000056	OG0000014	n6			WP_203427702.1, WP_012596144.1			
N3.HOG0000057	OG0000014	n8			WP_012597121.1, WP_012596208.1			
N3.HOG0000058	OG0000014	n10			WP_012595891.1, WP_049769550.1, WP_012594659.1, WP_012594529.1			
N3.HOG0000059	OG0000015	n1			WP_012596624.1			
N3.HOG0000060	OG0000015	n5			WP_012595899.1, WP_012594926.1, WP_015957358.1, WP_012597101.1			
N3.HOG0000061	OG0000015	n9			WP_015957393.1, WP_012595331.1, WP_012595555.1, WP_012597050.1, WP_012595047.1			
N3.HOG0000062	OG0000016	n1			WP_012593760.1		WP_044106471.1	WP_119259995.1
N3.HOG0000063	OG0000016	n7			WP_012596559.1			
N3.HOG0000064	OG0000016	n8			WP_015957439.1		WP_171816456.1	WP_172582113.1
N3.HOG0000065	OG0000017	n3					WP_044106804.1	WP_119260749.1
N3.HOG0000066	OG0000017	n5			WP_012594218.1			
N3.HOG0000067	OG0000017	n11			WP_012595624.1			
N3.HOG0000068	OG0000018	n1			WP_012594879.1		WP_044105505.1	WP_119260137.1
N3.HOG0000069	OG0000018	n6			WP_012596839.1		WP_084220214.1	WP_119261003.1
N3.HOG0000070	OG0000019	n1			WP_012595938.1		WP_044106759.1	WP_119260781.1
N3.HOG0000071	OG0000019	n6			WP_012596598.1		WP_044105906.1	WP_119259544.1
N3.HOG0000072	OG0000020	n1			WP_012594334.1		WP_044106868.1	WP_119260686.1
N3.HOG0000073	OG0000020	n9			WP_012593861.1			
N3.HOG0000074	OG0000020	n10			WP_012597235.1		WP_044106105.1	WP_119259726.1
N3.HOG0000075	OG0000021	n1			WP_012594692.1			
N3.HOG0000076	OG0000021	n8			WP_012596349.1		WP_232509851.1	WP_119259805.1
N3.HOG0000077	OG0000021	n11			WP_012595206.1			
N3.HOG0000078	OG0000021	n12			WP_012594457.1			
N3.HOG0000079	OG0000022	n0			WP_012596272.1, WP_012596273.1, WP_241392682.1, WP_012595436.1, WP_012596274.1, WP_012595154.1, WP_012596270.1, WP_012596277.1, WP_012596275.1, WP_012596276.1, WP_012596902.1, WP_012596903.1, WP_012596901.1, WP_012596904.1			
N3.HOG0000080	OG0000023	n1			WP_012594825.1		WP_044106752.1	WP_172582091.1
N3.HOG0000081	OG0000023	n6			WP_012596735.1, WP_012594459.1		WP_044106195.1	WP_232014562.1
N3.HOG0000082	OG0000024	n1			WP_012594128.1		WP_044106831.1	WP_119260719.1
N3.HOG0000083	OG0000024	n6			WP_012594673.1, WP_012594863.1		WP_044107440.1	WP_119260198.1
N3.HOG0000084	OG0000025	n1			WP_012594546.1		WP_044106482.1	WP_119260007.1
N3.HOG0000085	OG0000025	n6			WP_241392701.1		WP_232509920.1	WP_232014617.1
N3.HOG0000086	OG0000026	n1			WP_012594333.1		WP_044106869.1	WP_119260685.1
N3.HOG0000087	OG0000026	n6			WP_012596082.1		WP_044107610.1	WP_119260046.1
N3.HOG0000088	OG0000027	n3			WP_012596303.1		WP_044106434.1	WP_119259976.1
N3.HOG0000089	OG0000027	n7			WP_012595814.1		WP_044106355.1	WP_119259917.1
N3.HOG0000090	OG0000027	n10					WP_044105464.1	WP_119260154.1
N3.HOG0000091	OG0000028	n1			WP_012596671.1, WP_012593398.1			
N3.HOG0000092	OG0000028	n4			WP_012594698.1, WP_012596022.1, WP_012596680.1, WP_012596679.1, WP_012596113.1			
N3.HOG0000093	OG0000028	n9			WP_012593824.1, WP_012593729.1			
N3.HOG0000094	OG0000029	n1			WP_012594738.1		WP_044106819.1	WP_119260733.1
N3.HOG0000095	OG0000029	n6			WP_012595625.1		WP_044106393.1	WP_119259947.1
N3.HOG0000096	OG0000030	n1			WP_012593771.1		WP_084220174.1	WP_119259648.1
N3.HOG0000097	OG0000030	n6			WP_012597010.1		WP_044106349.1	WP_119259909.1
N3.HOG0000098	OG0000031	n1			WP_012594308.1		WP_044106866.1	WP_119260688.1
N3.HOG0000099	OG0000031	n5			WP_012596199.1		WP_044106353.1	WP_119259913.1
N3.HOG0000100	OG0000032	n1			WP_012596416.1		WP_232509865.1	WP_119260873.1
N3.HOG0000101	OG0000032	n6			WP_012597073.1		WP_044106634.1	WP_119260872.1
N3.HOG0000102	OG0000033	n1			WP_012594695.1		WP_044106073.1	WP_119259703.1
N3.HOG0000103	OG0000033	n6			WP_012593929.1		WP_044107314.1	WP_119260305.1
N3.HOG0000104	OG0000034	n1			WP_012594532.1		WP_044106690.1	WP_119260826.1
N3.HOG0000105	OG0000034	n6			WP_012596119.1		WP_044107155.1	WP_119260434.1
N3.HOG0000106	OG0000035	n1			WP_241392715.1		WP_171816400.1, WP_052470624.1	
N3.HOG0000107	OG0000035	n6			WP_012593750.1		WP_044106970.1	WP_119260594.1
N3.HOG0000108	OG0000036	n1			WP_012595422.1		WP_044105840.1	WP_119259478.1
N3.HOG0000109	OG0000036	n6			WP_203427679.1		WP_044107593.1	WP_119260939.1
N3.HOG0000110	OG0000037	n1			WP_012596483.1		WP_012596483.1	WP_012596483.1
N3.HOG0000111	OG0000037	n6			WP_012594303.1		WP_044106680.1	WP_044106680.1
N3.HOG0000112	OG0000038	n1			WP_012593581.1		WP_044106151.1	WP_119259763.1
N3.HOG0000113	OG0000038	n6			WP_015785396.1		WP_044106330.1	WP_119259891.1
N3.HOG0000114	OG0000039	n3			WP_015785241.1		WP_044107707.1	WP_119260189.1
N3.HOG0000115	OG0000039	n6			WP_241392603.1			
N3.HOG0000116	OG0000040	n3			WP_012596828.1			
N3.HOG0000117	OG0000040	n4			WP_012597005.1, WP_012593840.1, WP_012593472.1, WP_012595367.1, WP_012595811.1			
N3.HOG0000118	OG0000040	n9			WP_012594707.1			
N3.HOG0000119	OG0000040	n10			WP_012595735.1, WP_041229667.1			
N3.HOG0000120	OG0000041	n1			WP_012595278.1, WP_012595716.1			
N3.HOG0000121	OG0000041	n8			WP_203427736.1			
N3.HOG0000122	OG0000042	n1			WP_012594469.1			WP_119259761.1
N3.HOG0000123	OG0000042	n5			WP_015785216.1		WP_044107488.1	WP_119260165.1
N3.HOG0000124	OG0000043	n3			WP_012594033.1			
N3.HOG0000125	OG0000043	n6			WP_012594202.1			
N3.HOG0000126	OG0000043	n8					WP_044106218.1	WP_119259814.1
N3.HOG0000127	OG0000044	n3			WP_012595098.1, WP_015785270.1		WP_044107036.1	WP_119260541.1
N3.HOG0000128	OG0000044	n7			WP_012594479.1		WP_044107433.1	WP_119260205.1
N3.HOG0000129	OG0000045	n1			WP_012594097.1		WP_171816403.1	WP_119260072.1
N3.HOG0000130	OG0000045	n5			WP_012594193.1		WP_044107656.1	WP_119260647.1
N3.HOG0000131	OG0000046	n3			WP_012595612.1			
N3.HOG0000132	OG0000046	n4			WP_015785163.1		WP_044106148.1	WP_119259760.1
N3.HOG0000133	OG0000047	n3			WP_012595503.1		WP_232509866.1	WP_232014522.1
N3.HOG0000134	OG0000047	n6			WP_012593998.1		WP_044106383.1	WP_119259935.1
N3.HOG0000135	OG0000048	n1			WP_012595429.1		WP_044107351.1	WP_232014479.1
N3.HOG0000136	OG0000048	n5			WP_012594781.1		WP_044106080.1	WP_119259709.1
N3.HOG0000137	OG0000049	n1			WP_012595669.1			
N3.HOG0000138	OG0000049	n4			WP_012597189.1		WP_044105832.1	WP_119259473.1
N3.HOG0000139	OG0000049	n6			WP_012594467.1		WP_084220185.1, WP_044107456.1	WP_119260187.1
N3.HOG0000140	OG0000050	n1			WP_012595169.1, WP_012596225.1			
N3.HOG0000141	OG0000050	n5			WP_012596220.1			
N3.HOG0000142	OG0000050	n6			WP_012595165.1, WP_012594059.1, WP_241392704.1, WP_012594556.1			
N3.HOG0000143	OG0000051	n1			WP_012594612.1		WP_044106406.1	WP_119259958.1
N3.HOG0000144	OG0000051	n6			WP_012595388.1			
N3.HOG0000145	OG0000051	n7			WP_012594685.1			
N3.HOG0000146	OG0000052	n1			WP_012595445.1			
N3.HOG0000147	OG0000052	n3			WP_012593531.1, WP_041229612.1, WP_012596908.1			
N3.HOG0000148	OG0000052	n7			WP_012594712.1			
N3.HOG0000149	OG0000052	n8			WP_241392681.1, WP_012596942.1			
N3.HOG0000150	OG0000053	n1			WP_012597229.1			
N3.HOG0000151	OG0000053	n2			WP_012596905.1			WP_145961882.1
N3.HOG0000152	OG0000054	n2			WP_012593557.1, WP_012593025.1, WP_012597288.1			
N3.HOG0000153	OG0000054	n5			WP_012596738.1, WP_012593591.1, WP_012594195.1, WP_015785293.1			
N3.HOG0000154	OG0000054	n9			WP_071819095.1, WP_012596204.1			
N3.HOG0000155	OG0000055	n2			WP_012596626.1			
N3.HOG0000156	OG0000055	n4			WP_012597200.1, WP_012593072.1, WP_012596627.1			
N3.HOG0000157	OG0000055	n9			WP_012596146.1, WP_015957339.1			
N3.HOG0000158	OG0000056	n0			WP_012595520.1, WP_241392559.1, WP_012596233.1, WP_241392558.1, WP_049769534.1, WP_012594983.1, WP_012597145.1, WP_049769533.1, WP_012596242.1, WP_241392712.1			
N3.HOG0000159	OG0000057	n0			WP_012594655.1, WP_012597042.1, WP_012593542.1, WP_012594743.1, WP_012596752.1, WP_012593754.1, WP_071819081.1, WP_241392638.1, WP_049769527.1, WP_041229572.1			
N3.HOG0000160	OG0000058	n1			WP_012593859.1			
N3.HOG0000161	OG0000058	n3			WP_241392601.1, WP_012596407.1, WP_241392671.1, WP_012593436.1, WP_012594900.1, WP_203427677.1			
N3.HOG0000162	OG0000058	n9			WP_015785257.1			
N3.HOG0000163	OG0000059	n1			WP_012595567.1		WP_232509915.1	WP_119260833.1
N3.HOG0000164	OG0000059	n6						WP_119259574.1
N3.HOG0000165	OG0000060	n1			WP_012593905.1			WP_119260710.1
N3.HOG0000166	OG0000060	n5			WP_012596047.1			WP_119260862.1
N3.HOG0000167	OG0000061	n1			WP_015957341.1			
N3.HOG0000168	OG0000061	n4			WP_012594290.1		WP_044107080.1	WP_119260502.1
N3.HOG0000169	OG0000062	n3			WP_012595942.1		WP_044106103.1	WP_119259725.1
N3.HOG0000170	OG0000062	n6			WP_015957441.1		WP_044105515.1	WP_119260134.1
N3.HOG0000171	OG0000063	n3			WP_012597266.1		WP_044105722.1	WP_119259384.1
N3.HOG0000172	OG0000063	n6			WP_012595665.1		WP_044106673.1	WP_119260837.1
N3.HOG0000173	OG0000064	n3			WP_015785140.1			
N3.HOG0000174	OG0000064	n5			WP_012595400.1		WP_044106748.1	WP_119260791.1
N3.HOG0000175	OG0000064	n7					WP_044105622.1	WP_119259307.1
N3.HOG0000176	OG0000065	n2			WP_012596453.1			
N3.HOG0000177	OG0000065	n4			WP_012594577.1			
N3.HOG0000178	OG0000065	n7			WP_012597057.1			
N3.HOG0000179	OG0000065	n8			WP_012593440.1			
N3.HOG0000180	OG0000066	n1			WP_012594887.1			
N3.HOG0000181	OG0000066	n5			WP_241392543.1			
N3.HOG0000182	OG0000066	n6			WP_241392544.1			
N3.HOG0000183	OG0000067	n1			WP_012595963.1			
N3.HOG0000184	OG0000067	n3			WP_012595170.1			
N3.HOG0000185	OG0000067	n7			WP_157861311.1, WP_012595364.1			
N3.HOG0000186	OG0000068	n1					WP_052470597.1	WP_119260142.1
N3.HOG0000187	OG0000068	n3					WP_044105711.1	WP_119259374.1
N3.HOG0000188	OG0000069	n1			WP_012596888.1			
N3.HOG0000189	OG0000069	n4			WP_015957318.1			
N3.HOG0000190	OG0000069	n5			WP_012594746.1			
N3.HOG0000191	OG0000069	n7			WP_012596746.1			
N3.HOG0000192	OG0000069	n8			WP_012596747.1			
N3.HOG0000193	OG0000070	n3			WP_012595832.1		WP_044105531.1	WP_119260379.1, WP_119260128.1
N3.HOG0000194	OG0000070	n7			WP_012595002.1			
N3.HOG0000195	OG0000071	n3			WP_012596454.1, WP_012596462.1			
N3.HOG0000196	OG0000071	n5			WP_012595988.1		WP_044105992.1	WP_119259630.1
N3.HOG0000197	OG0000072	n3			WP_203427683.1		WP_171816376.1	WP_172582111.1
N3.HOG0000198	OG0000072	n6			WP_012597036.1			
N3.HOG0000199	OG0000073	n0			WP_012596709.1		WP_044106761.1	WP_119260779.1
N3.HOG0000200	OG0000074	n0			WP_012594005.1		WP_044107238.1	WP_119260366.1
N3.HOG0000201	OG0000075	n3			WP_012595418.1		WP_044105525.1	WP_232014463.1
N3.HOG0000202	OG0000075	n6			WP_012595329.1			WP_232014543.1
N3.HOG0000203	OG0000076	n1			WP_012596716.1			
N3.HOG0000204	OG0000076	n3			WP_012594955.1		WP_044105599.1	WP_119259287.1
N3.HOG0000205	OG0000077	n4			WP_012593430.1			
N3.HOG0000206	OG0000077	n7			WP_012593761.1			
N3.HOG0000207	OG0000078	n4					WP_044106473.1	WP_232014580.1
N3.HOG0000208	OG0000078	n6					WP_044106475.1	WP_172582033.1
N3.HOG0000209	OG0000079	n3					WP_044107249.1	WP_119260352.1
N3.HOG0000210	OG0000079	n5			WP_012594259.1, WP_012593427.1			
N3.HOG0000211	OG0000079	n7			WP_015957296.1			
N3.HOG0000212	OG0000080	n1			WP_012596919.1			WP_119259439.1
N3.HOG0000213	OG0000080	n5			WP_012595549.1			
N3.HOG0000214	OG0000081	n0			WP_012594445.1		WP_044105623.1	WP_119259308.1
N3.HOG0000215	OG0000082	n3			WP_012594042.1		WP_044106137.1	WP_119259749.1
N3.HOG0000216	OG0000082	n6			WP_012593415.1			
N3.HOG0000217	OG0000083	n1			WP_012593529.1, WP_012593530.1			
N3.HOG0000218	OG0000083	n5			WP_012595014.1			
N3.HOG0000219	OG0000084	n0			WP_012596252.1			
N3.HOG0000220	OG0000085	n1					WP_044105809.1	WP_119259447.1
N3.HOG0000221	OG0000085	n3			WP_012595699.1			
N3.HOG0000222	OG0000085	n5			WP_012594394.1			
N3.HOG0000223	OG0000086	n3			WP_012596748.1			
N3.HOG0000224	OG0000086	n6			WP_012596847.1			
N3.HOG0000225	OG0000086	n7			WP_012594871.1			
N3.HOG0000226	OG0000087	n0			WP_012595470.1			
N3.HOG0000227	OG0000088	n1			WP_012594728.1			WP_119259431.1
N3.HOG0000228	OG0000088	n4			WP_012595634.1			
N3.HOG0000229	OG0000088	n5			WP_012593825.1		WP_044107501.1	WP_119260172.1
N3.HOG0000230	OG0000089	n1			WP_012596469.1			
N3.HOG0000231	OG0000089	n6			WP_012596776.1			
N3.HOG0000232	OG0000089	n7			WP_012595022.1			
N3.HOG0000233	OG0000090	n1					WP_044107366.1	WP_119260254.1
N3.HOG0000234	OG0000090	n3			WP_241392598.1			
N3.HOG0000235	OG0000090	n6			WP_012594496.1			
N3.HOG0000236	OG0000090	n7			WP_012594069.1			
N3.HOG0000237	OG0000091	n1			WP_157861298.1, WP_012595876.1, WP_012596858.1			
N3.HOG0000238	OG0000091	n5			WP_012595255.1, WP_012594944.1			
N3.HOG0000239	OG0000091	n7			WP_012595790.1			
N3.HOG0000240	OG0000092	n0			WP_012596862.1, WP_012593755.1, WP_012594296.1, WP_012595210.1, WP_083767392.1, WP_012596940.1, WP_012594425.1, WP_015783194.1, WP_012594561.1			
N3.HOG0000241	OG0000093	n0			WP_012594987.1, WP_012596602.1, WP_241392586.1, WP_012594611.1, WP_241392585.1, WP_012596492.1, WP_012594054.1, WP_012596870.1, WP_012595173.1			
N3.HOG0000242	OG0000094	n3			WP_012594920.1		WP_044107173.1	WP_119260417.1
N3.HOG0000243	OG0000094	n6			WP_041229691.1			
N3.HOG0000244	OG0000095	n0			WP_012593703.1		WP_044107534.1	WP_119259501.1
N3.HOG0000245	OG0000096	n3					WP_044106710.1	WP_119260816.1
N3.HOG0000246	OG0000096	n5			WP_015957414.1			
N3.HOG0000247	OG0000096	n6			WP_012597268.1			
N3.HOG0000248	OG0000097	n0			WP_015957364.1		WP_044106411.1	WP_119259962.1
N3.HOG0000249	OG0000098	n0			WP_012594114.1		WP_044105757.1	WP_119259403.1
N3.HOG0000250	OG0000099	n0			WP_012595319.1, WP_012593637.1, WP_241392626.1		WP_044106161.1	WP_119259769.1
N3.HOG0000251	OG0000100	n0			WP_015785162.1		WP_044107613.1	WP_119260962.1
N3.HOG0000252	OG0000101	n0			WP_012595482.1		WP_044106542.1	WP_119260059.1
N3.HOG0000253	OG0000102	n0			WP_012593820.1, WP_041229573.1, WP_012594581.1		WP_044107007.1	WP_119260566.1
N3.HOG0000254	OG0000103	n3			WP_012595522.1			
N3.HOG0000255	OG0000103	n4			WP_012594660.1		WP_044106544.1	WP_119260060.1
N3.HOG0000256	OG0000104	n1			WP_015785086.1			
N3.HOG0000257	OG0000104	n4			WP_015785087.1			
N3.HOG0000258	OG0000105	n3			WP_012596179.1		WP_044105642.1	WP_119259327.1
N3.HOG0000259	OG0000105	n6			WP_012596178.1			
N3.HOG0000260	OG0000106	n3					WP_044106136.1	WP_119259748.1
N3.HOG0000261	OG0000106	n5			WP_012596108.1			
N3.HOG0000262	OG0000106	n6			WP_012596398.1			
N3.HOG0000263	OG0000107	n3			WP_012596485.1		WP_044106477.1	WP_119259999.1
N3.HOG0000264	OG0000107	n6			WP_012596486.1			
N3.HOG0000265	OG0000108	n0			WP_012596917.1		WP_044105626.1	WP_119259312.1
N3.HOG0000266	OG0000109	n1			WP_012595566.1			
N3.HOG0000267	OG0000109	n2			WP_012594062.1, WP_012595559.1, WP_012596399.1		WP_232509847.1	WP_119259747.1
N3.HOG0000268	OG0000110	n1			WP_012594574.1			
N3.HOG0000269	OG0000110	n3			WP_012594082.1			
N3.HOG0000270	OG0000110	n4			WP_015785261.1			
N3.HOG0000271	OG0000111	n2			WP_012597070.1			
N3.HOG0000272	OG0000111	n3			WP_015957408.1			
N3.HOG0000273	OG0000112	n1			WP_012596343.1			
N3.HOG0000274	OG0000112	n4			WP_012595312.1			
N3.HOG0000275	OG0000112	n5						WP_119260748.1
N3.HOG0000276	OG0000112	n6			WP_012596344.1			
N3.HOG0000277	OG0000113	n1			WP_012596123.1			
N3.HOG0000278	OG0000113	n3			WP_012594064.1, WP_012594108.1			
N3.HOG0000279	OG0000113	n6			WP_012594252.1			
N3.HOG0000280	OG0000114	n1			WP_012594615.1			
N3.HOG0000281	OG0000114	n2			WP_012593735.1		WP_232509841.1	
N3.HOG0000282	OG0000115	n1			WP_012594423.1, WP_012594458.1			WP_172582026.1
N3.HOG0000283	OG0000115	n4			WP_012594424.1, WP_012596696.1			WP_119259819.1
N3.HOG0000284	OG0000116	n1			WP_012593483.1			
N3.HOG0000285	OG0000116	n3			WP_012597058.1, WP_012594539.1, WP_012593408.1			
N3.HOG0000286	OG0000116	n6			WP_015785186.1			
N3.HOG0000287	OG0000117	n0			WP_012596804.1			WP_119260747.1
N3.HOG0000288	OG0000118	n1			WP_012596620.1		WP_044106621.1	WP_232014528.1
N3.HOG0000289	OG0000118	n4			WP_012595618.1			WP_172582004.1
N3.HOG0000290	OG0000119	n1			WP_012595797.1, WP_012594285.1			
N3.HOG0000291	OG0000119	n3			WP_012593942.1, WP_241392668.1			
N3.HOG0000292	OG0000120	n1			WP_012594795.1			
N3.HOG0000293	OG0000120	n3			WP_015957442.1			
N3.HOG0000294	OG0000120	n4			WP_012595917.1, WP_012593997.1			WP_119260135.1
N3.HOG0000295	OG0000121	n2			WP_012594165.1			
N3.HOG0000296	OG0000121	n4			WP_012596055.1			
N3.HOG0000297	OG0000121	n5			WP_012593078.1, WP_012596316.1			
N3.HOG0000298	OG0000122	n1			WP_012596206.1			
N3.HOG0000299	OG0000122	n3			WP_083767405.1			
N3.HOG0000300	OG0000122	n4			WP_015957367.1, WP_012594586.1			
N3.HOG0000301	OG0000123	n1			WP_012593868.1			
N3.HOG0000302	OG0000123	n2			WP_012597061.1			
N3.HOG0000303	OG0000124	n1			WP_012593024.1, WP_012593556.1			
N3.HOG0000304	OG0000124	n5			WP_012596737.1			
N3.HOG0000305	OG0000124	n6			WP_012593592.1			
N3.HOG0000306	OG0000125	n0			WP_203427668.1, WP_203427749.1, WP_203427674.1		WP_145972258.1	WP_232014474.1
N3.HOG0000307	OG0000126	n0			WP_015957418.1, WP_012593865.1		WP_044106596.1	WP_119260105.1
N3.HOG0000308	OG0000127	n0			WP_015957401.1, WP_012595439.1		WP_044106974.1	WP_119260590.1
N3.HOG0000309	OG0000128	n0			WP_012594763.1		WP_044105811.1	WP_119259451.1
N3.HOG0000310	OG0000129	n0			WP_041229730.1, WP_012594805.1		WP_044105678.1	WP_119259353.1
N3.HOG0000311	OG0000130	n0			WP_012594988.1		WP_044106395.1	WP_119259949.1
N3.HOG0000312	OG0000131	n0			WP_015957321.1, WP_012594691.1		WP_044106738.1	WP_119260796.1
N3.HOG0000313	OG0000132	n0			WP_012594366.1		WP_044105502.1	WP_119260138.1
N3.HOG0000314	OG0000133	n0			WP_012595989.1		WP_044105993.1	WP_119259631.1
N3.HOG0000315	OG0000134	n0			WP_012595984.1		WP_044105988.1	WP_085435268.1
N3.HOG0000316	OG0000135	n0			WP_012595644.1		WP_052470611.1, WP_171816381.1	WP_172582017.1
N3.HOG0000317	OG0000136	n0			WP_012595479.1		WP_044106713.1	WP_119260814.1
N3.HOG0000318	OG0000137	n0			WP_012594337.1, WP_012595640.1		WP_044106646.1	WP_119260861.1
N3.HOG0000319	OG0000138	n0			WP_012596073.1, WP_012593588.1		WP_044107701.1	WP_119260211.1
N3.HOG0000320	OG0000139	n0			WP_012595057.1		WP_044107262.1	WP_119260344.1
N3.HOG0000321	OG0000140	n0			WP_012596877.1		WP_044105569.1	WP_119259276.1
N3.HOG0000322	OG0000141	n0			WP_012594416.1		WP_232509862.1	WP_232014582.1, WP_172582034.1
N3.HOG0000323	OG0000142	n0			WP_012593511.1		WP_044107062.1	WP_119260519.1
N3.HOG0000324	OG0000143	n0			WP_012594949.1		WP_044105826.1	WP_119259464.1
N3.HOG0000325	OG0000144	n0			WP_012594160.1		WP_044107240.1	WP_119260364.1
N3.HOG0000326	OG0000145	n0			WP_012596664.1		WP_044105833.1	WP_119259474.1
N3.HOG0000327	OG0000146	n0			WP_012596526.1		WP_044106085.1	WP_119259711.1
