HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N0.HOG0000035	OG0000018	n6	WP_041487851.1	WP_009547092.1, WP_009545725.1, WP_009545518.1	WP_012596839.1	WP_229637064.1	WP_084220214.1	WP_119261003.1
N0.HOG0000036	OG0000019	n1	WP_012954511.1	WP_009544187.1	WP_012595938.1	WP_040054889.1	WP_044106759.1	WP_119260781.1
N0.HOG0000037	OG0000019	n6	WP_012954465.1	WP_009545922.1, WP_009544094.1, WP_009545025.1	WP_012596598.1	WP_229637377.1	WP_044105906.1	WP_119259544.1
N0.HOG0000038	OG0000020	n1	WP_012954493.1	WP_009544175.1	WP_012594334.1	WP_229637398.1	WP_044106868.1	WP_119260686.1
N0.HOG0000039	OG0000020	n6	WP_012954617.1	WP_009543905.1, WP_009545807.1	WP_012593861.1, WP_012597235.1	WP_040054446.1	WP_044106105.1	WP_119259726.1
N0.HOG0000040	OG0000021	n0		WP_009545938.1, WP_009543531.1, WP_009544613.1, WP_009547079.1, WP_009545115.1, WP_009547190.1	WP_012594692.1, WP_012595443.1, WP_012596349.1, WP_012595206.1, WP_012595020.1, WP_012594457.1		WP_232509851.1	WP_119259805.1
N0.HOG0000041	OG0000022	n0			WP_012596272.1, WP_012596273.1, WP_241392682.1, WP_012595436.1, WP_012596274.1, WP_012595154.1, WP_012596270.1, WP_012596277.1, WP_012596275.1, WP_012596276.1, WP_012596902.1, WP_012596903.1, WP_012596901.1, WP_012596904.1			
N0.HOG0000042	OG0000023	n1	WP_012953903.1	WP_009543540.1	WP_012594825.1	WP_229636896.1	WP_044106752.1	WP_172582091.1
N0.HOG0000043	OG0000023	n6	WP_012953663.1	WP_009544544.1	WP_012596735.1, WP_012594459.1	WP_229637634.1	WP_044106195.1	WP_232014562.1
N0.HOG0000044	OG0000024	n1	WP_012953822.1	WP_009545850.1	WP_012594128.1	WP_229636849.1	WP_044106831.1	WP_119260719.1
N0.HOG0000045	OG0000024	n6	WP_012954203.1	WP_009543829.1	WP_012594673.1, WP_012594863.1	WP_229637201.1	WP_044107440.1	WP_119260198.1
N0.HOG0000046	OG0000025	n1	WP_012954605.1	WP_009544410.1	WP_012594546.1	WP_040054455.1	WP_044106482.1	WP_119260007.1
N0.HOG0000047	OG0000025	n6	WP_012954012.1	WP_009544409.1, WP_243397415.1	WP_241392701.1	WP_040054938.1	WP_232509920.1	WP_232014617.1
N0.HOG0000048	OG0000026	n1	WP_012954492.1	WP_009544174.1	WP_012594333.1	WP_229637397.1	WP_044106869.1	WP_119260685.1
N0.HOG0000049	OG0000026	n6	WP_012954473.1	WP_009547952.1, WP_009544392.1	WP_012596082.1	WP_040054535.1	WP_044107610.1	WP_119260046.1
N0.HOG0000050	OG0000027	n0	WP_012954599.1	WP_009545244.1, WP_009545893.1, WP_009544965.1	WP_012596303.1, WP_012595814.1	WP_040054460.1	WP_044106434.1, WP_044106355.1, WP_044105464.1	WP_119259976.1, WP_119259917.1, WP_119260154.1
N0.HOG0000051	OG0000028	n0		WP_009545644.1, WP_009547421.1, WP_009543656.1, WP_009543113.1	WP_012596671.1, WP_012593398.1, WP_012594698.1, WP_012596022.1, WP_012596680.1, WP_012596679.1, WP_012596113.1, WP_012593824.1, WP_012593729.1			
N0.HOG0000052	OG0000029	n1	WP_012953989.1	WP_009544464.1	WP_012594738.1	WP_229636955.1	WP_044106819.1	WP_119260733.1
N0.HOG0000053	OG0000029	n6	WP_012953539.1	WP_009547491.1	WP_012595625.1	WP_229637558.1	WP_044106393.1	WP_119259947.1
N0.HOG0000054	OG0000030	n1	WP_012953557.1	WP_182670728.1	WP_012593771.1	WP_040054680.1	WP_084220174.1	WP_119259648.1
N0.HOG0000055	OG0000030	n6	WP_012954379.1	WP_009546539.1	WP_012597010.1	WP_040054617.1	WP_044106349.1	WP_119259909.1
N0.HOG0000056	OG0000031	n1	WP_012953575.1	WP_009544101.1	WP_012594308.1		WP_044106866.1	WP_119260688.1
N0.HOG0000057	OG0000031	n5	WP_012953713.1	WP_009546171.1, WP_008276079.1	WP_012596199.1	WP_040054966.1	WP_044106353.1	WP_119259913.1
N0.HOG0000058	OG0000032	n1	WP_012954150.1	WP_009543349.1	WP_012596416.1	WP_229637118.1	WP_232509865.1	WP_119260873.1
N0.HOG0000059	OG0000032	n6	WP_012953697.1	WP_009547073.1	WP_012597073.1	WP_040054980.1	WP_044106634.1	WP_119260872.1
N0.HOG0000060	OG0000033	n1	WP_012953707.1	WP_009543405.1	WP_012594695.1	WP_229637658.1	WP_044106073.1	WP_119259703.1
N0.HOG0000061	OG0000033	n6	WP_012953739.1	WP_009543543.1	WP_012593929.1	WP_229637681.1	WP_044107314.1	WP_119260305.1
N0.HOG0000062	OG0000034	n1	WP_012953804.1	WP_009545495.1	WP_012594532.1	WP_229636836.1	WP_044106690.1	WP_119260826.1
N0.HOG0000063	OG0000034	n6	WP_012954134.1	WP_009544164.1	WP_012596119.1	WP_040054706.1	WP_044107155.1	WP_119260434.1
N0.HOG0000064	OG0000035	n1	WP_236608143.1	WP_009546455.1	WP_241392715.1	WP_229637715.1	WP_171816400.1, WP_052470624.1	
N0.HOG0000065	OG0000035	n6	WP_012953848.1	WP_009545414.1	WP_012593750.1	WP_229636860.1	WP_044106970.1	WP_119260594.1
N0.HOG0000066	OG0000036	n1	WP_012954303.1	WP_009545829.1	WP_012595422.1	WP_229637270.1	WP_044105840.1	WP_119259478.1
N0.HOG0000067	OG0000036	n6	WP_012953897.1	WP_049769499.1	WP_203427679.1	WP_229636891.1	WP_044107593.1	WP_119260939.1
N0.HOG0000068	OG0000037	n1	WP_012954143.1	WP_007307443.1	WP_012596483.1	WP_229637109.1	WP_012596483.1	WP_012596483.1
N0.HOG0000069	OG0000037	n6	WP_012953946.1	WP_009547754.1	WP_012594303.1	WP_012953946.1	WP_044106680.1	WP_044106680.1
N0.HOG0000070	OG0000038	n1	WP_012954152.1	WP_009547281.1	WP_012593581.1	WP_229637120.1	WP_044106151.1	WP_119259763.1
N0.HOG0000071	OG0000038	n6	WP_012954490.1	WP_009545219.1	WP_015785396.1	WP_229637395.1	WP_044106330.1	WP_119259891.1
N0.HOG0000072	OG0000039	n0	WP_041487756.1	WP_009544893.1, WP_009544652.1, WP_009546719.1, WP_009544717.1, WP_009545237.1, WP_009547831.1	WP_015785241.1, WP_241392603.1	WP_229637186.1	WP_044107707.1	WP_119260189.1
N0.HOG0000073	OG0000040	n0		WP_009545833.1, WP_009543417.1, WP_009544218.1	WP_012596828.1, WP_012597005.1, WP_012593840.1, WP_012593472.1, WP_012595367.1, WP_012595811.1, WP_012594707.1, WP_012595735.1, WP_041229667.1			
N0.HOG0000074	OG0000041	n0		WP_009546273.1, WP_243397444.1, WP_009547254.1, WP_243397422.1, WP_009547685.1, WP_009547298.1, WP_009548013.1, WP_009546293.1, WP_009546473.1	WP_012595278.1, WP_012595716.1, WP_203427736.1			
N0.HOG0000075	OG0000042	n1	WP_012954383.1	WP_009544391.1	WP_012594469.1	WP_229637328.1		WP_119259761.1
N0.HOG0000076	OG0000042	n5	WP_012953591.1	WP_009543334.1	WP_015785216.1	WP_040055095.1	WP_044107488.1	WP_119260165.1
N0.HOG0000077	OG0000043	n0	WP_012953735.1	WP_009545253.1, WP_009546417.1, WP_009545483.1, WP_008274085.1, WP_009544347.1	WP_012594033.1, WP_012594202.1	WP_229637679.1	WP_044106218.1	WP_119259814.1
N0.HOG0000078	OG0000044	n0	WP_012954151.1	WP_009546633.1, WP_009547284.1	WP_012595098.1, WP_015785270.1, WP_012594479.1	WP_040055050.1	WP_044107036.1, WP_044107433.1	WP_119260541.1, WP_119260205.1
N0.HOG0000079	OG0000045	n1	WP_041487776.1	WP_009545594.1	WP_012594097.1		WP_171816403.1	WP_119260072.1
N0.HOG0000080	OG0000045	n5	WP_012954240.1	WP_009543824.1	WP_012594193.1	WP_229637225.1	WP_044107656.1	WP_119260647.1
N0.HOG0000081	OG0000046	n0	WP_012954346.1	WP_009546811.1, WP_041231900.1, WP_009545315.1, WP_009545012.1, WP_009548031.1	WP_012595612.1, WP_015785163.1	WP_040054829.1	WP_044106148.1	WP_119259760.1
N0.HOG0000082	OG0000047	n0	WP_012954451.1	WP_009545962.1, WP_009546220.1, WP_009545628.1	WP_012595503.1, WP_012593998.1	WP_229637368.1	WP_232509866.1, WP_044106383.1	WP_232014522.1, WP_119259935.1
N0.HOG0000083	OG0000048	n1	WP_012954563.1	WP_009544711.1	WP_012595429.1		WP_044107351.1	WP_232014479.1
N0.HOG0000084	OG0000048	n5	WP_012954519.1	WP_156922850.1	WP_012594781.1	WP_229637417.1	WP_044106080.1	WP_119259709.1
N0.HOG0000085	OG0000049	n0		WP_009543434.1, WP_009546961.1, WP_024750405.1	WP_012595669.1, WP_012597189.1, WP_012594467.1		WP_044105832.1, WP_084220185.1, WP_044107456.1	WP_119259473.1, WP_119260187.1
N0.HOG0000086	OG0000050	n0		WP_009543594.1, WP_009544397.1, WP_009545716.1	WP_012595169.1, WP_012596225.1, WP_012595167.1, WP_012596220.1, WP_012595165.1, WP_012594059.1, WP_241392704.1, WP_012594556.1			
N0.HOG0000087	OG0000051	n0		WP_009545120.1, WP_009547230.1, WP_009544930.1, WP_243397385.1, WP_009543646.1, WP_009544015.1	WP_012594612.1, WP_012595388.1, WP_012594685.1		WP_044106406.1	WP_119259958.1
N0.HOG0000088	OG0000052	n0		WP_009547817.1, WP_009543860.1, WP_009547010.1	WP_012595445.1, WP_012593531.1, WP_041229612.1, WP_012596908.1, WP_012595297.1, WP_012594712.1, WP_241392681.1, WP_012596942.1			
N0.HOG0000089	OG0000053	n0		WP_009544229.1, WP_009547881.1, WP_009544453.1, WP_009545085.1, WP_009546702.1, WP_071818212.1, WP_009544274.1, WP_009547076.1	WP_012597229.1, WP_012596905.1			WP_145961882.1
N0.HOG0000090	OG0000054	n0		WP_009547311.1, WP_009544400.1	WP_012593557.1, WP_012593025.1, WP_012597288.1, WP_012596738.1, WP_012593591.1, WP_012594195.1, WP_015785293.1, WP_071819095.1, WP_012596204.1			
N0.HOG0000091	OG0000055	n0		WP_009544805.1, WP_012361544.1, WP_243397419.1, WP_012361543.1, WP_009544806.1	WP_012596626.1, WP_012597200.1, WP_012593072.1, WP_012596627.1, WP_012596146.1, WP_015957339.1			
N0.HOG0000092	OG0000056	n0		WP_009545053.1	WP_012595520.1, WP_241392559.1, WP_012596233.1, WP_241392558.1, WP_049769534.1, WP_012594983.1, WP_012597145.1, WP_049769533.1, WP_012596242.1, WP_241392712.1			
N0.HOG0000093	OG0000057	n0		WP_009546951.1	WP_012594655.1, WP_012597042.1, WP_012593542.1, WP_012594743.1, WP_012596752.1, WP_012593754.1, WP_071819081.1, WP_241392638.1, WP_049769527.1, WP_041229572.1			
N0.HOG0000094	OG0000058	n0		WP_009547830.1, WP_243397351.1, WP_009547252.1	WP_012593859.1, WP_241392601.1, WP_012596407.1, WP_241392671.1, WP_012593436.1, WP_012594900.1, WP_203427677.1, WP_015785257.1			
N0.HOG0000095	OG0000059	n1	WP_012954288.1	WP_243397436.1	WP_012595567.1	WP_040054316.1	WP_232509915.1	WP_119260833.1
N0.HOG0000096	OG0000059	n6	WP_012953458.1	WP_009546769.1		WP_229637507.1		WP_119259574.1
N0.HOG0000097	OG0000060	n1	WP_012954208.1	WP_009544463.1	WP_012593905.1	WP_040054387.1		WP_119260710.1
N0.HOG0000098	OG0000060	n5	WP_012953512.1	WP_009545902.1	WP_012596047.1	WP_040054640.1		WP_119260862.1
N0.HOG0000099	OG0000061	n1	WP_012953752.1	WP_009544919.1	WP_015957341.1	WP_229636765.1		
N0.HOG0000100	OG0000061	n4	WP_012953763.1	WP_009545207.1	WP_012594290.1	WP_229636775.1	WP_044107080.1	WP_119260502.1
N0.HOG0000101	OG0000062	n0	WP_012954326.1	WP_009544184.1, WP_009545768.1	WP_012595942.1, WP_015957441.1	WP_229637285.1	WP_044106103.1, WP_044105515.1	WP_119259725.1, WP_119260134.1
N0.HOG0000102	OG0000063	n0	WP_041487853.1	WP_009543178.1, WP_009546048.1	WP_012597266.1, WP_012595665.1	WP_229637071.1	WP_044105722.1, WP_044106673.1	WP_119259384.1, WP_119260837.1
N0.HOG0000103	OG0000064	n0	WP_148207785.1	WP_009546575.1, WP_009545160.1	WP_015785140.1, WP_012595400.1	WP_229637737.1	WP_044106748.1, WP_044105622.1	WP_119260791.1, WP_119259307.1
N0.HOG0000104	OG0000065	n0		WP_009546761.1, WP_008274631.1, WP_009545419.1, WP_009545353.1, WP_009544824.1	WP_012596453.1, WP_012594577.1, WP_012597057.1, WP_012593440.1			WP_172582041.1
N0.HOG0000105	OG0000066	n0		WP_009546229.1, WP_009543477.1, WP_009547810.1, WP_009546197.1, WP_012362595.1, WP_009546924.1, WP_009546986.1	WP_012594887.1, WP_241392543.1, WP_241392544.1			
N0.HOG0000106	OG0000067	n0		WP_009547055.1, WP_009546317.1, WP_009543858.1, WP_009543978.1, WP_009544236.1, WP_009543661.1	WP_012595963.1, WP_012595170.1, WP_157861311.1, WP_012595364.1			
N0.HOG0000107	OG0000068	n0		WP_009544439.1, WP_009545348.1, WP_009544263.1, WP_009544264.1, WP_009544265.1, WP_009546891.1			WP_052470597.1, WP_044105711.1	WP_119260142.1, WP_119259374.1
N0.HOG0000108	OG0000069	n0		WP_009545277.1, WP_009547130.1, WP_009545451.1, WP_009547273.1, WP_009546054.1	WP_012596888.1, WP_015957318.1, WP_012594746.1, WP_012596746.1, WP_012596747.1			
N0.HOG0000109	OG0000070	n0	WP_012953446.1	WP_009546884.1, WP_009545228.1	WP_012595832.1, WP_012595002.1	WP_229637501.1	WP_044105531.1	WP_119260379.1, WP_119260128.1
N0.HOG0000110	OG0000071	n0	WP_012953550.1	WP_009544309.1, WP_009543458.1	WP_012596454.1, WP_012596462.1, WP_012595988.1	WP_229637566.1	WP_044105992.1	WP_119259630.1
N0.HOG0000111	OG0000072	n0	WP_012953641.1	WP_024750314.1, WP_009544486.1, WP_009545800.1	WP_203427683.1, WP_012597036.1	WP_229637620.1	WP_171816376.1	WP_172582111.1
N0.HOG0000112	OG0000073	n0	WP_012953881.1	WP_009545423.1, WP_009543817.1, WP_024750374.1, WP_009547813.1	WP_012596709.1	WP_229636879.1	WP_044106761.1	WP_119260779.1
N0.HOG0000113	OG0000074	n0	WP_012953945.1	WP_009543919.1, WP_009545084.1, WP_009544599.1, WP_009547757.1	WP_012594005.1	WP_229636926.1	WP_044107238.1	WP_119260366.1
N0.HOG0000114	OG0000075	n0	WP_012954131.1	WP_009547013.1, WP_009546130.1	WP_012595418.1, WP_012595329.1	WP_229637097.1	WP_044105525.1	WP_232014463.1, WP_232014543.1
N0.HOG0000115	OG0000076	n1	WP_012954174.1		WP_012596716.1	WP_229637729.1		
N0.HOG0000116	OG0000076	n3	WP_012954166.1	WP_009545469.1	WP_012594955.1	WP_229637162.1	WP_044105599.1	WP_119259287.1
N0.HOG0000117	OG0000077	n0	WP_012954197.1	WP_009546465.1, WP_243397404.1, WP_009546604.1, WP_009546594.1, WP_009546603.1	WP_012593430.1, WP_012593761.1	WP_229637193.1		
N0.HOG0000118	OG0000078	n0	WP_012954199.1	WP_009544239.1, WP_009546463.1	WP_012593764.1	WP_229637197.1	WP_044106473.1, WP_044106475.1	WP_232014580.1, WP_172582033.1
N0.HOG0000119	OG0000079	n0	WP_012954251.1	WP_009544943.1, WP_009547426.1	WP_012594259.1, WP_012593427.1, WP_015957296.1	WP_229637235.1	WP_044107249.1	WP_119260352.1
N0.HOG0000120	OG0000080	n1	WP_012954536.1	WP_009543532.1	WP_012596919.1	WP_229637431.1		WP_119259439.1
N0.HOG0000121	OG0000080	n5	WP_012954252.1	WP_009547423.1	WP_012595549.1	WP_040054345.1		
N0.HOG0000122	OG0000081	n0	WP_236608128.1	WP_009546820.1, WP_009546672.1, WP_009543356.1, WP_009543644.1	WP_012594445.1	WP_229637409.1	WP_044105623.1	WP_119259308.1
N0.HOG0000123	OG0000082	n0	WP_236608146.1	WP_009543051.1, WP_009543538.1, WP_009543863.1	WP_012594042.1, WP_012593415.1	WP_229636940.1	WP_044106137.1	WP_119259749.1
N0.HOG0000124	OG0000083	n0		WP_009547105.1, WP_009543159.1, WP_009544456.1, WP_009547309.1, WP_009543054.1, WP_009547816.1	WP_012593529.1, WP_012593530.1, WP_012595014.1			
N0.HOG0000125	OG0000084	n0		WP_009547577.1, WP_009544704.1, WP_009547608.1, WP_009543057.1, WP_009547575.1, WP_009546477.1, WP_009545013.1, WP_009546079.1	WP_012596252.1			
N0.HOG0000126	OG0000085	n0		WP_009546106.1, WP_009543598.1, WP_009543122.1, WP_009543265.1, WP_009548026.1	WP_012595699.1, WP_012594394.1		WP_044105809.1	WP_119259447.1
N0.HOG0000127	OG0000086	n0		WP_009545554.1, WP_009544491.1, WP_009543182.1, WP_009543518.1	WP_012596748.1, WP_012596847.1, WP_012594871.1, WP_012596684.1			WP_232014548.1
N0.HOG0000128	OG0000087	n0		WP_009543496.1, WP_009544767.1, WP_009545340.1, WP_041231842.1, WP_009547863.1, WP_009543279.1, WP_009547664.1, WP_012362048.1	WP_012595470.1			
N0.HOG0000129	OG0000088	n0		WP_009545620.1, WP_009543355.1, WP_009546994.1	WP_012594728.1, WP_012595634.1, WP_012593825.1		WP_044107501.1	WP_119259431.1, WP_119260172.1
N0.HOG0000130	OG0000089	n0		WP_009543685.1, WP_009543689.1, WP_009545380.1, WP_012362679.1	WP_012596469.1, WP_241392642.1, WP_012594843.1, WP_012596776.1, WP_012595022.1			
N0.HOG0000131	OG0000090	n0		WP_009546850.1, WP_009544941.1, WP_009544501.1, WP_009546599.1	WP_241392598.1, WP_012594496.1, WP_012594069.1		WP_044107366.1	WP_119260254.1
N0.HOG0000132	OG0000091	n0		WP_009547812.1, WP_009545788.1, WP_009546901.1	WP_157861298.1, WP_012595876.1, WP_012596858.1, WP_012595255.1, WP_012594944.1, WP_012595790.1			
N0.HOG0000133	OG0000092	n0			WP_012596862.1, WP_012593755.1, WP_012594296.1, WP_012595210.1, WP_083767392.1, WP_012596940.1, WP_012594425.1, WP_015783194.1, WP_012594561.1			
N0.HOG0000134	OG0000093	n0			WP_012594987.1, WP_012596602.1, WP_241392586.1, WP_012594611.1, WP_241392585.1, WP_012596492.1, WP_012594054.1, WP_012596870.1, WP_012595173.1			
N0.HOG0000135	OG0000094	n0	WP_012953567.1	WP_009544489.1, WP_009546681.1	WP_012594920.1, WP_041229691.1	WP_229637576.1	WP_044107173.1	WP_119260417.1
N0.HOG0000136	OG0000095	n0	WP_012953632.1	WP_009545389.1, WP_009545286.1, WP_009544583.1	WP_012593703.1	WP_040054784.1	WP_044107534.1	WP_119259501.1
N0.HOG0000137	OG0000096	n0	WP_012953805.1	WP_009545816.1, WP_009543566.1	WP_015957414.1, WP_012597268.1	WP_229636838.1	WP_044106710.1	WP_119260816.1
N0.HOG0000138	OG0000097	n0	WP_012953824.1	WP_024750257.1, WP_035858004.1, WP_243397463.1	WP_015957364.1	WP_229636851.1	WP_044106411.1	WP_119259962.1
N0.HOG0000139	OG0000098	n0	WP_012953857.1	WP_009545420.1, WP_009545511.1, WP_009547416.1	WP_012594114.1	WP_040054223.1	WP_044105757.1	WP_119259403.1
N0.HOG0000140	OG0000099	n0	WP_012953879.1	WP_009547815.1	WP_012595319.1, WP_012593637.1, WP_241392626.1	WP_229636878.1	WP_044106161.1	WP_119259769.1
