HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N4.HOG0000059	OG0000036	n1					WP_044105840.1	WP_119259478.1
N4.HOG0000060	OG0000036	n6					WP_044107593.1	WP_119260939.1
N4.HOG0000061	OG0000037	n1					WP_012596483.1	WP_012596483.1
N4.HOG0000062	OG0000037	n6					WP_044106680.1	WP_044106680.1
N4.HOG0000063	OG0000038	n1					WP_044106151.1	WP_119259763.1
N4.HOG0000064	OG0000038	n6					WP_044106330.1	WP_119259891.1
N4.HOG0000065	OG0000039	n3					WP_044107707.1	WP_119260189.1
N4.HOG0000066	OG0000042	n1						WP_119259761.1
N4.HOG0000067	OG0000042	n5					WP_044107488.1	WP_119260165.1
N4.HOG0000068	OG0000043	n8					WP_044106218.1	WP_119259814.1
N4.HOG0000069	OG0000044	n3					WP_044107036.1	WP_119260541.1
N4.HOG0000070	OG0000044	n7					WP_044107433.1	WP_119260205.1
N4.HOG0000071	OG0000045	n1					WP_171816403.1	WP_119260072.1
N4.HOG0000072	OG0000045	n5					WP_044107656.1	WP_119260647.1
N4.HOG0000073	OG0000046	n4					WP_044106148.1	WP_119259760.1
N4.HOG0000074	OG0000047	n3					WP_232509866.1	WP_232014522.1
N4.HOG0000075	OG0000047	n6					WP_044106383.1	WP_119259935.1
N4.HOG0000076	OG0000048	n1					WP_044107351.1	WP_232014479.1
N4.HOG0000077	OG0000048	n5					WP_044106080.1	WP_119259709.1
N4.HOG0000078	OG0000049	n4					WP_044105832.1	WP_119259473.1
N4.HOG0000079	OG0000049	n6					WP_084220185.1, WP_044107456.1	WP_119260187.1
N4.HOG0000080	OG0000051	n1					WP_044106406.1	WP_119259958.1
N4.HOG0000081	OG0000053	n2						WP_145961882.1
N4.HOG0000082	OG0000059	n1					WP_232509915.1	WP_119260833.1
N4.HOG0000083	OG0000059	n6						WP_119259574.1
N4.HOG0000084	OG0000060	n1						WP_119260710.1
N4.HOG0000085	OG0000060	n5						WP_119260862.1
N4.HOG0000086	OG0000061	n4					WP_044107080.1	WP_119260502.1
N4.HOG0000087	OG0000062	n3					WP_044106103.1	WP_119259725.1
N4.HOG0000088	OG0000062	n6					WP_044105515.1	WP_119260134.1
N4.HOG0000089	OG0000063	n3					WP_044105722.1	WP_119259384.1
N4.HOG0000090	OG0000063	n6					WP_044106673.1	WP_119260837.1
N4.HOG0000091	OG0000064	n5					WP_044106748.1	WP_119260791.1
N4.HOG0000092	OG0000064	n7					WP_044105622.1	WP_119259307.1
N4.HOG0000093	OG0000068	n1					WP_052470597.1	WP_119260142.1
N4.HOG0000094	OG0000068	n3					WP_044105711.1	WP_119259374.1
N4.HOG0000095	OG0000070	n3					WP_044105531.1	WP_119260379.1, WP_119260128.1
N4.HOG0000096	OG0000071	n5					WP_044105992.1	WP_119259630.1
N4.HOG0000097	OG0000072	n3					WP_171816376.1	WP_172582111.1
N4.HOG0000098	OG0000073	n0					WP_044106761.1	WP_119260779.1
N4.HOG0000099	OG0000074	n0					WP_044107238.1	WP_119260366.1
N4.HOG0000100	OG0000075	n3					WP_044105525.1	WP_232014463.1
N4.HOG0000101	OG0000075	n6						WP_232014543.1
N4.HOG0000102	OG0000076	n3					WP_044105599.1	WP_119259287.1
N4.HOG0000103	OG0000078	n4					WP_044106473.1	WP_232014580.1
N4.HOG0000104	OG0000078	n6					WP_044106475.1	WP_172582033.1
N4.HOG0000105	OG0000079	n3					WP_044107249.1	WP_119260352.1
N4.HOG0000106	OG0000080	n1						WP_119259439.1
N4.HOG0000107	OG0000081	n0					WP_044105623.1	WP_119259308.1
N4.HOG0000108	OG0000082	n3					WP_044106137.1	WP_119259749.1
N4.HOG0000109	OG0000085	n1					WP_044105809.1	WP_119259447.1
N4.HOG0000110	OG0000088	n1						WP_119259431.1
N4.HOG0000111	OG0000088	n5					WP_044107501.1	WP_119260172.1
N4.HOG0000112	OG0000090	n1					WP_044107366.1	WP_119260254.1
N4.HOG0000113	OG0000094	n3					WP_044107173.1	WP_119260417.1
N4.HOG0000114	OG0000095	n0					WP_044107534.1	WP_119259501.1
N4.HOG0000115	OG0000096	n3					WP_044106710.1	WP_119260816.1
N4.HOG0000116	OG0000097	n0					WP_044106411.1	WP_119259962.1
N4.HOG0000117	OG0000098	n0					WP_044105757.1	WP_119259403.1
N4.HOG0000118	OG0000099	n0					WP_044106161.1	WP_119259769.1
N4.HOG0000119	OG0000100	n0					WP_044107613.1	WP_119260962.1
N4.HOG0000120	OG0000101	n0					WP_044106542.1	WP_119260059.1
N4.HOG0000121	OG0000102	n0					WP_044107007.1	WP_119260566.1
N4.HOG0000122	OG0000103	n4					WP_044106544.1	WP_119260060.1
N4.HOG0000123	OG0000105	n3					WP_044105642.1	WP_119259327.1
N4.HOG0000124	OG0000106	n3					WP_044106136.1	WP_119259748.1
N4.HOG0000125	OG0000107	n3					WP_044106477.1	WP_119259999.1
N4.HOG0000126	OG0000108	n0					WP_044105626.1	WP_119259312.1
N4.HOG0000127	OG0000109	n2					WP_232509847.1	WP_119259747.1
N4.HOG0000128	OG0000112	n5						WP_119260748.1
N4.HOG0000129	OG0000114	n2					WP_232509841.1	
N4.HOG0000130	OG0000115	n1						WP_172582026.1
N4.HOG0000131	OG0000115	n4						WP_119259819.1
N4.HOG0000132	OG0000117	n0						WP_119260747.1
N4.HOG0000133	OG0000118	n1					WP_044106621.1	WP_232014528.1
N4.HOG0000134	OG0000118	n4						WP_172582004.1
N4.HOG0000135	OG0000120	n4						WP_119260135.1
N4.HOG0000136	OG0000125	n0					WP_145972258.1	WP_232014474.1
N4.HOG0000137	OG0000126	n0					WP_044106596.1	WP_119260105.1
N4.HOG0000138	OG0000127	n0					WP_044106974.1	WP_119260590.1
N4.HOG0000139	OG0000128	n0					WP_044105811.1	WP_119259451.1
N4.HOG0000140	OG0000129	n0					WP_044105678.1	WP_119259353.1
N4.HOG0000141	OG0000130	n0					WP_044106395.1	WP_119259949.1
N4.HOG0000142	OG0000131	n0					WP_044106738.1	WP_119260796.1
N4.HOG0000143	OG0000132	n0					WP_044105502.1	WP_119260138.1
N4.HOG0000144	OG0000133	n0					WP_044105993.1	WP_119259631.1
N4.HOG0000145	OG0000134	n0					WP_044105988.1	WP_085435268.1
N4.HOG0000146	OG0000135	n0					WP_052470611.1, WP_171816381.1	WP_172582017.1
N4.HOG0000147	OG0000136	n0					WP_044106713.1	WP_119260814.1
N4.HOG0000148	OG0000137	n0					WP_044106646.1	WP_119260861.1
N4.HOG0000149	OG0000138	n0					WP_044107701.1	WP_119260211.1
N4.HOG0000150	OG0000139	n0					WP_044107262.1	WP_119260344.1
N4.HOG0000151	OG0000140	n0					WP_044105569.1	WP_119259276.1
N4.HOG0000152	OG0000141	n0					WP_232509862.1	WP_232014582.1, WP_172582034.1
N4.HOG0000153	OG0000142	n0					WP_044107062.1	WP_119260519.1
N4.HOG0000154	OG0000143	n0					WP_044105826.1	WP_119259464.1
N4.HOG0000155	OG0000144	n0					WP_044107240.1	WP_119260364.1
N4.HOG0000156	OG0000145	n0					WP_044105833.1	WP_119259474.1
N4.HOG0000157	OG0000146	n0					WP_044106085.1	WP_119259711.1
N4.HOG0000158	OG0000147	n0					WP_044106247.1	WP_119259830.1
N4.HOG0000159	OG0000148	n0						WP_119260439.1
N4.HOG0000160	OG0000149	n0					WP_044107116.1	WP_119260460.1
N4.HOG0000161	OG0000150	n0					WP_044106163.1	WP_119259768.1
N4.HOG0000162	OG0000151	n0					WP_044106603.1	WP_119260111.1
N4.HOG0000163	OG0000153	n0					WP_044106282.1	WP_119259849.1
N4.HOG0000164	OG0000154	n0					WP_232509875.1	WP_119260544.1
N4.HOG0000165	OG0000155	n0					WP_044105876.1	WP_119259517.1
N4.HOG0000166	OG0000156	n0					WP_044106793.1	WP_119260761.1
N4.HOG0000167	OG0000157	n0					WP_044106944.1	WP_119260618.1
N4.HOG0000168	OG0000158	n0					WP_044105725.1	WP_119260894.1
N4.HOG0000169	OG0000159	n0					WP_044105592.1	WP_119259285.1
N4.HOG0000170	OG0000160	n0					WP_044105733.1	WP_119259391.1
N4.HOG0000171	OG0000161	n0					WP_044106466.1	WP_119259992.1
N4.HOG0000172	OG0000162	n3						WP_119259556.1
N4.HOG0000173	OG0000163	n0					WP_044106768.1	WP_119260773.1
N4.HOG0000174	OG0000164	n0					WP_044106755.1	WP_119260787.1
N4.HOG0000175	OG0000165	n0					WP_044107085.1	WP_119260494.1
N4.HOG0000176	OG0000166	n0					WP_044106669.1	WP_119260841.1
N4.HOG0000177	OG0000167	n0					WP_044106525.1	WP_119260047.1
N4.HOG0000178	OG0000168	n3						WP_119259684.1
N4.HOG0000179	OG0000169	n3						WP_119259461.1
N4.HOG0000180	OG0000170	n0					WP_044106513.1	WP_119260038.1
N4.HOG0000181	OG0000171	n0					WP_044105470.1	WP_119260150.1
N4.HOG0000182	OG0000172	n0					WP_044105861.1	WP_119259500.1
N4.HOG0000183	OG0000173	n0					WP_044107296.1	WP_119260320.1
N4.HOG0000184	OG0000174	n0					WP_232509834.1	WP_232014546.1
N4.HOG0000185	OG0000175	n0					WP_044106185.1	WP_172582112.1
N4.HOG0000186	OG0000176	n0					WP_044105987.1	WP_119259626.1
N4.HOG0000187	OG0000177	n0					WP_044106551.1	WP_119260063.1
N4.HOG0000188	OG0000178	n0					WP_044106694.1	WP_119260823.1
N4.HOG0000189	OG0000179	n0					WP_044105806.1	WP_119259444.1
N4.HOG0000190	OG0000180	n0					WP_044106116.1	WP_119259733.1
N4.HOG0000191	OG0000181	n0					WP_044106854.1	WP_119260699.1
N4.HOG0000192	OG0000182	n0					WP_044106409.1	WP_119259961.1
N4.HOG0000193	OG0000183	n0					WP_232509928.1	WP_119260286.1
N4.HOG0000194	OG0000184	n0					WP_232509858.1	WP_119259896.1
N4.HOG0000195	OG0000185	n0					WP_044107489.1	WP_119259572.1, WP_119260166.1
N4.HOG0000196	OG0000186	n0					WP_044107006.1	WP_119260567.1
N4.HOG0000197	OG0000187	n0					WP_044107263.1	WP_119260343.1
N4.HOG0000198	OG0000188	n0					WP_232509823.1	WP_232014533.1
N4.HOG0000199	OG0000189	n1					WP_044105680.1	WP_119259354.1
N4.HOG0000200	OG0000191	n0						WP_172582030.1
N4.HOG0000201	OG0000195	n5						WP_232014544.1
N4.HOG0000202	OG0000196	n1					WP_044105925.1	WP_119259564.1
N4.HOG0000203	OG0000199	n1					WP_044107397.1	WP_119260229.1
N4.HOG0000204	OG0000202	n1					WP_044106691.1	WP_119260825.1
N4.HOG0000205	OG0000204	n0					WP_044107090.1	WP_232014493.1
N4.HOG0000206	OG0000205	n0					WP_232509903.1	
N4.HOG0000207	OG0000206	n0					WP_084220183.1	WP_119260946.1
N4.HOG0000208	OG0000207	n0					WP_044106886.1	WP_119260668.1
N4.HOG0000209	OG0000208	n0					WP_044106888.1	WP_119260666.1
N4.HOG0000210	OG0000209	n0					WP_044106889.1	WP_119260665.1
N4.HOG0000211	OG0000210	n0					WP_044106063.1	WP_119259692.1
N4.HOG0000212	OG0000211	n0					WP_044106427.1	WP_119259974.1
N4.HOG0000213	OG0000212	n0					WP_044106439.1	WP_119259978.1
N4.HOG0000214	OG0000213	n0					WP_044106413.1	WP_119259963.1
N4.HOG0000215	OG0000214	n0					WP_044106141.1	WP_119259753.1
N4.HOG0000216	OG0000215	n0					WP_044105908.1	WP_119259546.1
N4.HOG0000217	OG0000216	n0					WP_044105595.1	WP_119259286.1
N4.HOG0000218	OG0000217	n0					WP_044107431.1	WP_119260206.1
N4.HOG0000219	OG0000218	n0					WP_044106236.1	WP_119259825.1
N4.HOG0000220	OG0000219	n0					WP_044106238.1	WP_119259826.1
N4.HOG0000221	OG0000220	n0					WP_044107371.1	WP_119260249.1
N4.HOG0000222	OG0000221	n0					WP_044106505.1	WP_119260031.1
N4.HOG0000223	OG0000222	n0					WP_044107108.1	WP_119260468.1
N4.HOG0000224	OG0000223	n0					WP_044106735.1	WP_119260800.1
N4.HOG0000225	OG0000224	n0					WP_044107053.1	WP_232014616.1
N4.HOG0000226	OG0000225	n0					WP_044106343.1	WP_119259903.1
N4.HOG0000227	OG0000226	n0					WP_044106179.1	WP_119259787.1
N4.HOG0000228	OG0000227	n0					WP_044107137.1	WP_119260447.1
N4.HOG0000229	OG0000228	n0					WP_044105660.1	WP_119259343.1
N4.HOG0000230	OG0000229	n0					WP_044107004.1	WP_119260569.1
N4.HOG0000231	OG0000230	n0					WP_044107003.1	WP_119260570.1
N4.HOG0000232	OG0000231	n0					WP_044107393.1	WP_119260232.1
N4.HOG0000233	OG0000232	n0					WP_044106918.1	WP_119260638.1
N4.HOG0000234	OG0000233	n0					WP_232509821.1	WP_119260888.1
N4.HOG0000235	OG0000234	n0					WP_044105766.1	WP_119259410.1
N4.HOG0000236	OG0000235	n0					WP_044106449.1	WP_119259982.1
N4.HOG0000237	OG0000236	n0					WP_044106533.1	WP_119260052.1
N4.HOG0000238	OG0000237	n0					WP_044107373.1	WP_119260248.1
N4.HOG0000239	OG0000238	n0						WP_119261008.1
N4.HOG0000240	OG0000239	n0					WP_044105812.1	WP_119259452.1
N4.HOG0000241	OG0000240	n0					WP_044105673.1	WP_119259351.1
N4.HOG0000242	OG0000241	n0					WP_044106703.1	WP_119260819.1
N4.HOG0000243	OG0000242	n0					WP_044106699.1	WP_119260820.1
N4.HOG0000244	OG0000243	n0					WP_044107205.1	WP_119260391.1
N4.HOG0000245	OG0000244	n0					WP_070104604.1	WP_232014534.1
N4.HOG0000246	OG0000245	n0					WP_044107144.1	WP_119260441.1
N4.HOG0000247	OG0000246	n0					WP_044106291.1	WP_119259860.1
N4.HOG0000248	OG0000247	n0					WP_044107324.1	WP_119260295.1
N4.HOG0000249	OG0000248	n0					WP_044107550.1	WP_119259590.1
N4.HOG0000250	OG0000249	n0					WP_044106455.1	WP_119259985.1
N4.HOG0000251	OG0000250	n0					WP_052470606.1	WP_119259555.1
N4.HOG0000252	OG0000251	n0					WP_044106828.1	WP_119260724.1
N4.HOG0000253	OG0000252	n0					WP_044106225.1	WP_119259818.1
N4.HOG0000254	OG0000253	n0					WP_044106223.1	WP_119259817.1
N4.HOG0000255	OG0000254	n0					WP_044106219.1	WP_119259815.1
N4.HOG0000256	OG0000255	n0					WP_044106079.1	WP_119259708.1
N4.HOG0000257	OG0000256	n0					WP_044105847.1	WP_119259485.1
N4.HOG0000258	OG0000257	n0					WP_044107147.1	WP_119260437.1
N4.HOG0000259	OG0000258	n0					WP_044107149.1	WP_119261002.1
N4.HOG0000260	OG0000259	n0					WP_044106617.1	WP_119260882.1
N4.HOG0000261	OG0000260	n0					WP_044106618.1	WP_119260881.1
N4.HOG0000262	OG0000261	n0					WP_044106101.1	WP_119259723.1
N4.HOG0000263	OG0000262	n0					WP_044106098.1	WP_119259722.1
N4.HOG0000264	OG0000263	n0					WP_044107001.1	WP_119260572.1
N4.HOG0000265	OG0000264	n0					WP_070104603.1	WP_119260571.1
N4.HOG0000266	OG0000265	n0					WP_044106256.1	WP_119259834.1
N4.HOG0000267	OG0000266	n0					WP_044106258.1	WP_119259835.1
N4.HOG0000268	OG0000267	n0					WP_044106874.1	WP_119260679.1
N4.HOG0000269	OG0000268	n0					WP_084220189.1	WP_119260076.1
N4.HOG0000270	OG0000269	n0					WP_044106856.1	WP_119260698.1
N4.HOG0000271	OG0000270	n0					WP_044106852.1	WP_119260700.1
N4.HOG0000272	OG0000271	n0					WP_044106076.1	WP_119259705.1
N4.HOG0000273	OG0000272	n0					WP_044107398.1	WP_119260227.1
N4.HOG0000274	OG0000273	n0					WP_044107410.1	WP_119260219.1
N4.HOG0000275	OG0000274	n0					WP_044106068.1	WP_119259696.1
N4.HOG0000276	OG0000275	n0					WP_044105991.1	WP_119259629.1
N4.HOG0000277	OG0000276	n0					WP_044105990.1	WP_119259628.1
N4.HOG0000278	OG0000277	n0					WP_044105989.1	WP_119259627.1
N4.HOG0000279	OG0000278	n0					WP_232509905.1	WP_119259625.1
N4.HOG0000280	OG0000279	n0					WP_044106013.1	WP_119259649.1
N4.HOG0000281	OG0000280	n0					WP_044107072.1	WP_119260510.1
N4.HOG0000282	OG0000281	n0					WP_044107073.1	WP_119260509.1
N4.HOG0000283	OG0000282	n0					WP_044105927.1	WP_119259566.1
N4.HOG0000284	OG0000283	n0					WP_044105744.1	WP_119259396.1
N4.HOG0000285	OG0000284	n0					WP_171816455.1	WP_119259879.1
N4.HOG0000286	OG0000285	n0					WP_044107199.1	WP_119260396.1
N4.HOG0000287	OG0000286	n0					WP_044106347.1	WP_119259907.1
N4.HOG0000288	OG0000287	n0					WP_044107087.1	WP_119260491.1
N4.HOG0000289	OG0000288	n0					WP_232509892.1	WP_232014470.1
N4.HOG0000290	OG0000289	n0					WP_044105627.1	WP_119259314.1
N4.HOG0000291	OG0000290	n0					WP_044105628.1	WP_119259315.1
N4.HOG0000292	OG0000291	n0					WP_044105630.1	WP_119259317.1
N4.HOG0000293	OG0000292	n0					WP_044106447.1	WP_119260951.1
N4.HOG0000294	OG0000293	n0					WP_044107651.1	WP_119260692.1
N4.HOG0000295	OG0000294	n0					WP_044106863.1	WP_119260691.1
N4.HOG0000296	OG0000295	n0					WP_044106295.1	WP_119259866.1
N4.HOG0000297	OG0000296	n0					WP_044106590.1	WP_119260096.1
N4.HOG0000298	OG0000297	n0					WP_044106058.1	WP_119259689.1
N4.HOG0000299	OG0000298	n0					WP_044105965.1	WP_119259602.1
N4.HOG0000300	OG0000299	n0					WP_044106178.1	WP_119259786.1
N4.HOG0000301	OG0000300	n0					WP_044107315.1	WP_119260304.1
N4.HOG0000302	OG0000301	n0					WP_044106913.1	WP_119260643.1
N4.HOG0000303	OG0000302	n0					WP_232509872.1	WP_119260644.1
N4.HOG0000304	OG0000303	n0					WP_044105853.1	WP_119259492.1
N4.HOG0000305	OG0000304	n0					WP_171816451.1	WP_119259493.1
N4.HOG0000306	OG0000305	n0					WP_044106786.1	WP_119260764.1
N4.HOG0000307	OG0000306	n0					WP_044106529.1	WP_119260049.1
N4.HOG0000308	OG0000307	n0					WP_044106146.1	WP_119259757.1
N4.HOG0000309	OG0000308	n0					WP_044106576.1	WP_119260079.1
N4.HOG0000310	OG0000309	n0					WP_044107574.1	WP_119260924.1
N4.HOG0000311	OG0000310	n0					WP_070104597.1	WP_119259356.1
N4.HOG0000312	OG0000311	n0					WP_044106289.1	WP_119259858.1
N4.HOG0000313	OG0000312	n0					WP_044106290.1	WP_119259859.1
N4.HOG0000314	OG0000313	n0					WP_044105868.1	WP_119259509.1
N4.HOG0000315	OG0000314	n0					WP_044106506.1	WP_119260032.1
N4.HOG0000316	OG0000315	n0					WP_044106711.1	WP_119260815.1
N4.HOG0000317	OG0000316	n0					WP_044107208.1	WP_119260387.1
N4.HOG0000318	OG0000317	n0					WP_145972266.1	WP_232014588.1
N4.HOG0000319	OG0000318	n0					WP_044105801.1	WP_119259437.1
N4.HOG0000320	OG0000319	n0					WP_044106305.1	WP_119259873.1
N4.HOG0000321	OG0000320	n0					WP_044106304.1	WP_119259872.1
N4.HOG0000322	OG0000321	n0					WP_044106821.1	WP_119260731.1
N4.HOG0000323	OG0000322	n0					WP_044106160.1	WP_119259770.1
N4.HOG0000324	OG0000323	n0					WP_232509849.1	WP_119259799.1
N4.HOG0000325	OG0000324	n0					WP_044106199.1	WP_119259798.1
N4.HOG0000326	OG0000325	n0					WP_044107382.1	WP_119260241.1
N4.HOG0000327	OG0000326	n0					WP_044106877.1	WP_119260678.1
N4.HOG0000328	OG0000327	n0					WP_044105947.1	WP_119259584.1
N4.HOG0000329	OG0000328	n0					WP_044106322.1	WP_119259884.1
N4.HOG0000330	OG0000329	n0					WP_044106323.1	WP_232014572.1
N4.HOG0000331	OG0000330	n0					WP_044106326.1	WP_119259886.1
N4.HOG0000332	OG0000331	n0					WP_044106056.1	WP_119259686.1
N4.HOG0000333	OG0000332	n0					WP_044105959.1	WP_119259597.1
N4.HOG0000334	OG0000333	n0					WP_044105958.1	WP_119259596.1
N4.HOG0000335	OG0000334	n0					WP_044107462.1	WP_119260183.1
N4.HOG0000336	OG0000335	n0					WP_044106143.1	WP_119259754.1
N4.HOG0000337	OG0000336	n0					WP_044106980.1	WP_119260587.1
N4.HOG0000338	OG0000337	n0					WP_044106598.1	WP_119260106.1
N4.HOG0000339	OG0000338	n0					WP_044105518.1	WP_119260133.1
N4.HOG0000340	OG0000339	n0					WP_044106865.1	WP_119260690.1
N4.HOG0000341	OG0000340	n0					WP_044105979.1	WP_119259618.1
N4.HOG0000342	OG0000341	n0					WP_044106884.1	WP_119260671.1
N4.HOG0000343	OG0000342	n0					WP_044106004.1	WP_119259642.1
N4.HOG0000344	OG0000343	n0					WP_044107327.1	WP_119260292.1
N4.HOG0000345	OG0000344	n0					WP_044106168.1	WP_119259778.1
N4.HOG0000346	OG0000345	n0					WP_044107258.1	WP_119260346.1
N4.HOG0000347	OG0000346	n0					WP_044107256.1	WP_119260347.1
N4.HOG0000348	OG0000347	n0					WP_044107255.1	WP_119260348.1
N4.HOG0000349	OG0000348	n0					WP_232509926.1	WP_119260349.1
N4.HOG0000350	OG0000349	n0					WP_044107521.1	WP_119260893.1
N4.HOG0000351	OG0000350	n0					WP_044106210.1	WP_119259808.1
N4.HOG0000352	OG0000351	n0					WP_044106727.1	WP_119260807.1
N4.HOG0000353	OG0000352	n0					WP_044107640.1	WP_119260806.1
N4.HOG0000354	OG0000353	n0					WP_044105834.1	WP_119259475.1
N4.HOG0000355	OG0000354	n0					WP_044107094.1	WP_119260479.1
N4.HOG0000356	OG0000355	n0					WP_044105732.1	WP_119259390.1
N4.HOG0000357	OG0000356	n0					WP_044105567.1	WP_119259275.1
N4.HOG0000358	OG0000357	n0					WP_044107670.1	WP_119261012.1
N4.HOG0000359	OG0000358	n0					WP_044107054.1	WP_119260525.1
N4.HOG0000360	OG0000359	n0					WP_044105512.1	WP_119260968.1
N4.HOG0000361	OG0000360	n0					WP_232509896.1	WP_119259441.1
N4.HOG0000362	OG0000361	n0					WP_084220236.1	WP_119260936.1
N4.HOG0000363	OG0000362	n0					WP_044106493.1	WP_119260021.1
N4.HOG0000364	OG0000363	n0					WP_044107282.1	WP_119260331.1
