source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Synechococcus_cyanobium_clade/pangenoma	Cyanobium_gracile_PCC_6307_GCF_000316515.1_genomic.gbff	Cyanobium_sp_M30B3_GCF_018399015.1_genomic.gbff	Cyanobium_sp_NIES-981_GCF_900088535.1_genomic.gbff	Cyanobium_sp_NS01_GCF_014280235.1_genomic.gbff	Synechococcus_sp_CBW1002_GCF_015840915.1_genomic.gbff	Synechococcus_sp_CBW1004_GCF_015840715.1_genomic.gbff	Synechococcus_sp_CBW1006_GCF_015840525.1_genomic.gbff	Synechococcus_sp_CBW1108_GCF_015840335.1_genomic.gbff	
167_cytochrome_P450.faa	1	2	1	0	1	0	0	1	
169_nitroreductase_famil...faa	1	0	0	0	0	0	0	0	
172_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
175_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
176_EF-hand_domain-conta...faa	1	0	0	0	1	1	1	0	
179_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
180_Nif11-like_leader_pe...faa	1	0	0	0	0	0	0	0	
181_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
182_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
183_hypothetical_protein.faa	1	0	1	0	1	0	1	0	
184_magnesium_transporte...faa	1	0	0	0	0	0	0	0	
185_DUF2256_domain-conta...faa	1	0	0	0	0	1	0	0	
186_M10_family_metallope...faa	1	0	0	0	0	0	0	0	
198_DUF1499_domain-conta...faa	1	1	1	0	1	1	1	1	
199_hypothetical_protein.faa	1	1	0	0	1	1	1	1	
200_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
206_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
209_hypothetical_protein.faa	1	1	0	0	1	1	1	0	
217_AAA_family_ATPase.faa	1	2	2	0	3	1	3	3	
218_type_II_toxin-antito...faa	1	0	0	0	0	0	0	0	
219_type_II_toxin-antito...faa	1	0	0	0	0	0	0	0	
220_hypothetical_protein.faa	1	1	1	0	1	1	1	2	
221_DEAD-DEAH_box_helica...faa	1	0	1	0	0	1	0	1	
222_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
223_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
224_DUF262_domain-contai...faa	1	0	0	0	0	0	0	0	
225_TerB_family_tellurit...faa	1	0	0	0	0	0	0	0	
226_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
227_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
230_DEAD-DEAH_box_helica...faa	1	0	0	0	0	1	0	1	
231_AAA_family_ATPase.faa	1	0	0	0	0	1	0	2	
232_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
233_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
234_AbrB-MazE-SpoVT_fami...faa	2	0	0	0	1	0	1	1	
235_PIN_domain-containin...faa	2	0	0	0	1	0	1	1	
236_hypothetical_protein.faa	1	0	1	0	0	1	0	2	
237_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
238_hypothetical_protein.faa	1	1	0	0	1	0	1	0	
241_EAL_domain-containin...faa	1	0	0	0	0	0	0	0	
242_response_regulator.faa	1	0	0	0	0	0	0	0	
243_PAS_domain_S-box_pro...faa	1	0	0	0	0	0	0	0	
245_serine_protease.faa	1	0	0	0	0	0	0	0	
246_COP23_domain-contain...faa	2	0	0	0	0	0	0	0	
247_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
248_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
249_serine_protease.faa	1	0	0	0	0	0	0	0	
250_ATP-binding_cassette...faa	1	0	0	0	0	0	0	0	
251_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
252_IS3_family_transposa...faa	2	0	0	0	0	0	1	0	
254_ATP-binding_cassette...faa	1	0	0	0	0	0	0	1	
255_HlyD_family_efflux_t...faa	1	0	0	0	0	0	0	1	
256_NHLP_family_bacterio...faa	1	0	0	0	1	0	1	1	
257_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
258_DDE-type_integrase-t...faa	1	0	0	0	0	0	0	0	
260_transposase.faa	1	0	0	0	0	0	0	0	
261_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
262_DDE-type_integrase-t...faa	1	0	0	0	1	1	0	2	
264_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
265_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
266_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
267_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
272_S1C_family_serine_pr...faa	1	0	0	0	0	0	0	0	
273_serine_protease.faa	1	0	0	0	0	0	0	0	
275_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
276_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
286_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
290_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
295_SemiSWEET_transporte...faa	1	1	0	0	0	1	0	1	
297_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
305_amino_acid_ABC_trans...faa	1	0	0	0	0	0	0	0	
311_cation-proton_antipo...faa	1	0	1	0	0	1	0	1	
312_APC_family_permease.faa	1	0	0	0	1	1	1	1	
314_DedA_family_protein.faa	1	0	0	0	0	1	0	0	
315_polysaccharide_deace...faa	1	0	0	0	0	0	0	0	
316_formyl_transferase.faa	1	0	0	0	0	0	0	0	
317_def.faa	1	0	1	0	0	1	0	0	
318_permease.faa	1	0	1	0	0	1	0	1	
319_VIT_family_protein.faa	1	0	1	0	0	0	0	0	
320_YqhA_family_protein.faa	1	0	0	0	0	1	0	1	
322_META_domain-containi...faa	1	0	0	0	0	0	0	0	
324_YbjQ_family_protein.faa	1	1	1	0	1	1	1	0	
326_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
328_L-D-transpeptidase.faa	1	0	0	0	0	0	0	0	
329_GAF_domain-containin...faa	1	0	0	0	0	0	0	0	
331_ATP-binding_protein.faa	1	0	0	0	1	0	1	0	
332_sugar_transferase.faa	1	0	0	0	0	0	0	0	
333_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
334_glycosyltransferase.faa	1	0	0	0	0	0	0	0	
335_glycosyltransferase_...faa	1	0	0	0	0	0	0	0	
336_lipopolysaccharide_b...faa	1	0	0	0	0	0	0	0	
337_glycosyltransferase_...faa	1	1	0	0	0	1	1	0	
338_polysaccharide_expor...faa	1	0	0	0	0	0	0	0	
339_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
340_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
341_PAS_domain_S-box_pro...faa	1	1	0	0	1	1	1	0	
342_ATP-binding_protein.faa	1	0	0	0	0	0	0	0	
343_Hpt_domain-containin...faa	1	0	0	0	0	0	0	0	
344_SpoIIE_family_protei...faa	1	0	0	0	0	0	0	0	
345_STAS_domain-containi...faa	1	0	0	0	0	0	0	0	
357_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
366_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
368_OFA_family_MFS_trans...faa	1	1	0	0	0	0	0	0	
369_FAD-dependent_oxidor...faa	1	0	1	0	0	0	0	0	
371_tryptophan-rich_sens...faa	1	0	0	0	0	0	0	0	
379_ubiG.faa	1	0	0	0	0	0	0	0	
394_hypothetical_protein.faa	1	0	0	0	1	0	1	0	
396_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
406_rlmB.faa	1	0	0	0	0	0	0	0	
409_nuclear_transport_fa...faa	1	0	0	0	0	0	0	0	
410_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
411_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
416_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
420_sensor_domain-contai...faa	1	1	1	0	1	1	1	1	
425_GGDEF_domain-contain...faa	1	0	0	0	0	0	0	0	
427_HPP_family_protein.faa	1	0	0	0	1	1	0	1	
429_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
436_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
443_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
453_DUF3148_domain-conta...faa	1	1	1	0	1	1	1	1	
467_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
473_hemolysin_family_pro...faa	1	1	0	0	0	1	0	0	
478_LPS_export_ABC_trans...faa	1	1	0	0	0	1	0	0	
482_SGNH-GDSL_hydrolase_...faa	1	0	0	0	0	0	0	0	
483_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
494_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
496_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
500_hypothetical_protein.faa	1	1	0	0	1	1	1	0	
514_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
539_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
561_hypothetical_protein.faa	1	1	0	0	0	0	0	0	
562_HlyD_family_efflux_t...faa	1	0	0	0	0	0	0	0	
564_hypothetical_protein.faa	1	1	0	0	1	0	1	0	
565_hypothetical_protein.faa	1	1	0	0	0	0	0	0	
566_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
591_NAD-P--FAD-dependent...faa	1	0	1	0	1	1	1	0	
600_DUF1830_domain-conta...faa	1	1	0	0	1	1	1	1	
603_psb29.faa	1	1	1	0	1	1	1	1	
605_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
614_DUF4912_domain-conta...faa	1	0	0	0	0	0	0	0	
625_DUF4178_domain-conta...faa	1	0	1	0	0	0	0	0	
626_polyamine_aminopropy...faa	1	0	1	0	0	0	0	0	
627_hypothetical_protein.faa	1	0	1	0	0	0	0	0	
628_hypothetical_protein.faa	1	0	1	0	0	0	0	0	
629_DUF350_domain-contai...faa	1	0	0	0	0	0	0	0	
631_pentapeptide_repeat-...faa	1	0	0	0	0	0	0	0	
632_cax.faa	1	0	0	0	1	1	1	0	
633_SpoIIE_family_protei...faa	1	1	0	0	1	1	1	0	
634_siaB.faa	1	1	0	0	1	1	1	0	
635_siaC.faa	1	1	0	0	0	1	0	0	
636_siaD.faa	1	1	0	0	1	1	1	0	
638_class_I_SAM-dependen...faa	1	1	0	0	1	1	1	1	
655_hypothetical_protein.faa	1	0	0	0	1	1	1	0	
656_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
657_hypothetical_protein.faa	1	0	0	0	0	0	0	1	
658_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
667_hypothetical_protein.faa	1	0	0	0	0	1	0	0	
673_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
676_TMEM165-GDT1_family_...faa	1	1	1	0	1	1	1	1	
692_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
695_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
701_sensor_domain-contai...faa	1	0	0	0	1	0	1	0	
703_hypothetical_protein.faa	2	0	0	0	0	0	0	0	
704_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
705_SDR_family_NAD-P--de...faa	1	0	0	0	0	0	0	0	
706_phosphatase_PAP2_fam...faa	1	0	0	0	0	0	0	0	
707_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
720_hypothetical_protein.faa	1	0	0	0	0	1	0	0	
721_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
723_VanW_family_protein.faa	1	0	0	0	0	0	0	0	
728_gamma-glutamylcyclot...faa	1	0	0	0	1	1	1	0	
729_PhzF_family_phenazin...faa	1	0	1	0	0	0	0	0	
733_hypothetical_protein.faa	1	1	0	0	1	0	1	0	
734_VWA_domain-containin...faa	1	0	0	0	1	0	0	0	
735_substrate-binding_do...faa	1	1	0	0	1	0	1	0	
736_UDP-2-3-diacylglucos...faa	1	0	0	0	0	0	0	0	
737_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
739_FeoA_domain-containi...faa	1	1	0	0	1	1	1	0	
743_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
745_methyltransferase_do...faa	1	0	0	0	0	0	0	0	
746_PIG-L_family_deacety...faa	1	0	0	0	0	0	0	0	
747_glycosyltransferase_...faa	1	0	0	0	0	0	0	0	
748_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
749_catalase.faa	1	0	0	0	0	0	0	0	
750_CsbD_family_protein.faa	1	0	0	0	0	0	0	0	
761_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
762_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
763_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
765_tryptophan-rich_sens...faa	1	0	0	0	0	1	0	0	
767_hypothetical_protein.faa	1	0	1	0	0	1	0	0	
770_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
771_hypothetical_protein.faa	1	0	0	0	0	1	0	0	
790_bifunctional_acetate...faa	1	1	0	0	1	0	1	0	
791_Nif11-like_leader_pe...faa	1	0	0	0	1	2	2	2	
792_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
793_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
794_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
796_hypothetical_protein.faa	1	0	0	0	1	1	0	0	
797_transglutaminase_fam...faa	1	1	0	0	1	0	1	0	
799_RNA-binding_protein.faa	1	0	0	0	0	0	0	0	
805_transglutaminase_fam...faa	1	1	0	0	0	1	0	0	
806_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
811_VOC_family_protein.faa	1	2	1	0	2	1	2	1	
813_PPOX_class_FMN-depen...faa	1	1	1	0	0	1	0	1	
817_hypothetical_protein.faa	1	1	0	0	2	1	2	1	
818_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
819_deoxyribodipyrimidin...faa	1	1	1	0	1	1	1	1	
822_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
825_high_light_inducible...faa	1	0	1	0	0	0	0	0	
830_proteasome-type_prot...faa	1	0	0	0	1	0	1	0	
831_transglutaminase_fam...faa	1	0	1	0	1	0	1	0	
832_N-formylglutamate_am...faa	1	0	0	0	0	0	0	0	
833_transglutaminase_fam...faa	1	1	0	0	0	0	0	0	
834_alpha_amylase_C-term...faa	1	0	0	0	0	0	0	0	
835_alpha-amylase_family...faa	1	0	0	0	0	0	0	0	
836_CsbD_family_protein.faa	1	1	0	0	0	0	0	0	
837_DUF302_domain-contai...faa	1	0	0	0	0	0	0	0	
840_SDR_family_oxidoredu...faa	1	0	0	0	0	0	0	0	
841_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
843_thiol_oxidoreductase.faa	1	0	0	0	0	0	0	0	
844_periplasmic_lipoprot...faa	1	0	0	0	0	0	0	0	
846_hypothetical_protein.faa	1	1	2	0	1	1	1	1	
847_response_regulator_t...faa	1	1	1	0	1	1	1	1	
848_ribbon-helix-helix_p...faa	1	0	0	0	0	0	0	0	
853_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
854_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
868_UvrD-helicase_domain...faa	1	0	0	0	0	0	0	0	
869_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
871_phosphomannose_isome...faa	1	1	1	0	1	1	1	1	
877_MgtC-SapB_family_pro...faa	1	0	0	0	0	1	0	1	
878_FUSC_family_protein.faa	1	1	0	0	1	1	1	1	
879_FUSC_family_protein.faa	1	1	0	0	1	1	1	1	
880_carbohydrate_porin.faa	1	1	0	0	1	1	1	0	
881_TolC_family_protein.faa	1	1	0	0	1	1	1	0	
883_sensor_domain-contai...faa	1	0	0	0	0	0	0	0	
884_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
885_hypothetical_protein.faa	1	1	0	0	1	1	1	0	
886_NHLP_bacteriocin_sys...faa	1	1	0	0	1	1	1	1	
893_phosphoribosyltransf...faa	1	1	1	0	1	1	1	1	
894_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
895_bifunctional_nicotin...faa	1	0	0	0	0	0	0	0	
896_nicotinamide_phospho...faa	1	0	0	0	0	0	0	0	
897_nicotinate_phosphori...faa	1	0	0	0	1	0	1	0	
898_thermonuclease_famil...faa	1	4	0	0	0	0	0	1	
900_Nif11-like_leader_pe...faa	1	1	0	0	1	1	1	1	
902_superoxide_dismutase.faa	1	1	1	0	1	1	1	0	
905_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
906_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
907_MarC_family_protein.faa	1	2	1	0	0	0	0	1	
908_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
909_acyltransferase_fami...faa	1	0	1	0	1	0	1	0	
914_ABC_transporter_subs...faa	1	0	1	0	0	0	0	0	
915_ntrB.faa	1	1	2	0	0	0	0	0	
916_nitrate_ABC_transpor...faa	2	0	1	0	0	0	0	0	
917_nitrate_ABC_transpor...faa	1	1	2	0	0	0	0	0	
919_alpha-beta_hydrolase.faa	1	0	0	0	1	0	1	0	
920_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
925_hypothetical_protein.faa	1	1	1	0	1	2	1	1	
926_histone_deacetylase.faa	1	1	0	0	1	1	1	0	
927_DUF1830_domain-conta...faa	1	0	0	0	0	0	0	0	
928_hypothetical_protein.faa	1	1	0	0	0	1	0	0	
930_M23_family_metallope...faa	1	0	0	0	0	0	0	0	
931_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
932_RDD_family_protein.faa	1	0	0	0	0	0	0	0	
933_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
934_hypothetical_protein.faa	1	1	0	0	0	1	1	1	
935_DUF1295_domain-conta...faa	1	0	1	0	0	0	0	1	
937_alpha-amylase_family...faa	1	0	0	0	1	1	0	1	
939_HAD-IIB_family_hydro...faa	1	0	0	0	1	1	1	1	
942_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
945_permease.faa	1	1	1	0	0	0	0	0	
949_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
950_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
951_DUF3136_domain-conta...faa	1	1	0	0	0	1	0	1	
955_glnT.faa	1	1	1	0	1	1	1	0	
959_Rieske_2Fe-2S_domain...faa	1	1	1	0	0	1	0	0	
961_sugar_phosphate_isom...faa	1	1	1	0	0	1	0	0	
966_helix-turn-helix_tra...faa	1	0	1	0	0	0	0	0	
967_alkene_reductase.faa	1	0	0	0	0	1	0	0	
973_DUF3136_domain-conta...faa	1	0	0	0	0	0	0	0	
975_FAD-dependent_monoox...faa	1	0	0	0	0	0	0	0	
981_ammonium_transporter.faa	1	0	0	0	0	0	0	0	
982_P-II_family_nitrogen...faa	1	0	0	0	0	1	0	0	
986_hypothetical_protein.faa	1	1	0	0	0	0	1	0	
987_L-lactate_dehydrogen...faa	1	0	0	0	0	0	0	0	
988_carbonic_anhydrase.faa	1	0	0	0	0	0	0	0	
989_bifunctional_o-acety...faa	1	0	0	0	0	0	0	0	
990_cpcA.faa	1	0	0	0	0	0	0	0	
991_phycocyanin_subunit_...faa	1	0	0	0	0	0	0	0	
992_cysteine_desulfurase.faa	1	0	0	0	0	0	0	0	
993_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
994_serine_acetyltransfe...faa	1	0	0	0	0	0	0	0	
995_rhodanese-like_domai...faa	1	0	0	0	0	0	0	0	
996_cysK.faa	1	0	0	0	0	0	0	0	
997_long-chain_fatty_ald...faa	1	1	0	0	0	1	1	0	
1005_MotA-TolQ-ExbB_proto...faa	1	1	0	0	0	0	0	1	
1006_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1007_hypothetical_protein.faa	1	1	0	0	0	0	0	1	
1008_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1009_aminotransferase_cla...faa	1	1	1	0	1	1	1	1	
1016_hypothetical_protein.faa	1	1	0	0	1	1	1	1	
1017_pyruvate_kinase.faa	1	1	0	0	0	0	0	0	
1019_cyclic_nucleotide-bi...faa	1	0	0	0	0	1	0	0	
1021_hypothetical_protein.faa	1	1	1	0	1	1	1	0	
1023_cysW.faa	1	0	1	0	0	0	0	1	
1024_cysT.faa	1	0	1	0	0	0	0	1	
1025_cysA.faa	1	0	1	0	0	0	0	0	
1026_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1027_Crp-Fnr_family_trans...faa	1	0	0	0	0	0	0	0	
1028_Rrf2_family_transcri...faa	1	1	1	0	0	1	0	1	
1029_sulfate_ABC_transpor...faa	1	0	0	0	0	0	0	0	
1030_sulfate_ABC_transpor...faa	1	0	1	0	0	0	0	1	
1031_class_II_glutamine_a...faa	1	0	1	0	1	0	1	1	
1032_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1033_rhodanese-like_domai...faa	1	0	0	0	0	0	0	0	
1034_alpha-beta_fold_hydr...faa	1	0	0	0	0	0	0	0	
1035_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1036_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1037_chrA.faa	1	0	1	0	0	1	0	1	
1038_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1041_ABC_transporter_subs...faa	1	0	0	0	0	1	0	1	
1042_branched-chain_amino...faa	1	0	0	0	0	1	0	1	
1043_branched-chain_amino...faa	1	0	0	0	0	1	0	1	
1044_ABC_transporter_ATP-...faa	1	0	0	0	0	1	0	1	
1045_ABC_transporter_ATP-...faa	1	0	0	0	0	1	0	1	
1046_ion_transporter.faa	1	1	0	0	1	0	1	0	
1047_3--5-_exonuclease.faa	1	0	0	0	0	0	0	0	
1055_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1059_type_I_secretion_C-t...faa	1	0	0	0	0	0	0	0	
1060_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1070_rplS.faa	1	0	0	0	0	0	0	0	
1081_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1082_type_II_toxin-antito...faa	1	1	0	0	0	0	0	0	
1083_type_II_toxin-antito...faa	1	1	0	0	0	0	0	0	
1085_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1086_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1087_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1088_exostosin_family_pro...faa	1	0	0	0	0	0	0	0	
1089_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1090_glycosyltransferase_...faa	1	0	0	0	0	0	0	0	
1092_type_II_toxin-antito...faa	1	0	1	0	0	1	0	1	
1093_ribbon-helix-helix_d...faa	1	0	1	0	0	1	0	1	
1094_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1100_hypothetical_protein.faa	1	0	0	0	0	0	1	0	
1102_glycosyltransferase.faa	1	0	0	0	0	0	1	0	
1104_hypothetical_protein.faa	1	0	0	0	0	0	1	0	
1106_glycosyltransferase_...faa	1	0	0	0	0	0	1	0	
1128_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1133_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1134_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1135_glf.faa	1	0	0	0	0	0	0	0	
1139_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
1143_rpsP.faa	1	0	0	0	0	0	0	0	
1145_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
