source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Thermosynechococcus_clade/pangenoma	Acaryochloris_marina_MBIC11017_GCF_000018105.1_genomic.gbff	Acaryochloris_marina_S15_GCF_018336915.1_genomic.gbff	Acaryochloris_sp__Moss_Beach_GCF_021497025.1_genomic.gbff	Gloeomargarita_lithophora_Alchichica-_D10_GCF_001870225.1_genomic.gbff	Synechococcus_sp_PCC_6312_GCF_000316685.1_genomic.gbff	Thermostichus_lividus_PCC_6715_GCF_002754935.1_genomic.gbff	Thermosynechococcus_elongatus_PKUAC-SCTE542_GCF_003555505.1_genomic.gbff	Thermosynechococcus_sp_CL-1_GCF_008386235.1_genomic.gbff	Thermosynechococcus_sp_HN-54_GCF_023650955.1_genomic.gbff	Thermosynechococcus_sp_TA-1_GCF_017086385.1_genomic.gbff	Thermosynechococcus_sp_a_NK55_GCF_000505665.1_genomic.gbff	Thermosynechococcus_vestitus_BP-1_GCF_000011345.1_genomic.gbff	
22_hypothetical_protein.faa	1	1	0	0	0	0	0	0	0	0	0	0	
23_hypothetical_protein.faa	1	2	1	0	0	0	0	0	0	0	0	0	
24_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
25_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
26_helix-turn-helix_tra...faa	1	0	0	0	0	0	0	0	0	0	0	0	
27_hypothetical_protein.faa	3	0	2	0	0	0	0	0	0	0	0	0	
28_hypothetical_protein.faa	4	1	2	0	1	0	0	0	0	0	0	0	
29_phosphoadenosine_pho...faa	2	2	1	0	0	0	0	0	0	0	0	0	
30_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
31_hypothetical_protein.faa	3	1	1	0	0	0	0	0	0	0	0	0	
32_hypothetical_protein.faa	6	0	1	0	0	0	0	0	0	0	0	0	
33_hypothetical_protein.faa	4	0	0	0	0	0	0	0	0	0	0	0	
34_DUF4326_domain-conta...faa	4	0	0	0	0	0	0	0	0	0	0	0	
35_hypothetical_protein.faa	5	1	2	0	1	0	0	0	0	0	0	0	
36_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
37_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
38_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
39_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
40_cation_transporter.faa	2	0	0	0	0	0	0	0	0	0	0	0	
41_PD--D-E-XK_nuclease_...faa	5	0	0	0	0	0	0	0	0	0	0	0	
42_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
43_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
44_diguanylate_cyclase.faa	2	0	0	0	0	0	0	0	0	0	0	0	
45_tyrosine-type_recomb...faa	3	0	0	0	0	0	0	0	0	0	0	0	
46_WD40_repeat_domain-c...faa	1	0	0	0	0	0	0	0	0	0	0	0	
47_ferric_reductase-lik...faa	1	0	0	0	0	0	0	0	0	0	0	0	
48_phosphatidic_acid_ph...faa	1	1	1	0	0	0	0	0	0	0	0	0	
50_TIR_domain-containin...faa	2	2	2	0	0	0	0	0	0	0	0	0	
51_NB-ARC_domain-contai...faa	2	2	1	0	0	0	0	0	0	0	0	0	
52_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
53_hypothetical_protein.faa	1	3	0	0	0	0	0	0	0	0	0	0	
54_DEAD-DEAH_box_helica...faa	1	0	0	0	0	0	0	0	0	0	0	0	
55_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
56_ParA_family_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
57_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
60_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
61_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
62_pentapeptide_repeat-...faa	1	0	0	0	0	0	0	0	0	0	0	0	
63_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
64_pentapeptide_repeat-...faa	3	1	0	0	0	0	0	0	0	0	0	0	
65_hypothetical_protein.faa	2	2	2	0	0	0	0	0	0	0	0	0	
66_pentapeptide_repeat-...faa	1	0	0	0	0	0	0	0	0	0	0	0	
67_pentapeptide_repeat-...faa	1	0	0	0	0	0	0	0	0	0	0	0	
68_transposase.faa	1	0	0	0	0	0	0	0	0	0	0	0	
69_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
70_pentapeptide_repeat-...faa	2	0	0	0	0	0	0	0	0	0	0	0	
71_hypothetical_protein.faa	4	1	4	0	0	0	0	0	0	0	0	0	
72_sigma-70_family_RNA_...faa	3	0	1	0	0	0	0	0	0	0	0	0	
73_helix-turn-helix_tra...faa	4	0	0	0	0	0	0	0	0	0	0	0	
74_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
75_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
76_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
77_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
78_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
79_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
80_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
81_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
82_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
83_lipase_superfamily_p...faa	1	0	0	0	0	0	0	0	0	0	0	0	
84_alpha-beta_hydrolase.faa	1	2	1	0	0	0	0	0	0	0	0	0	
85_M23_family_metallope...faa	4	3	5	0	0	0	0	0	0	0	0	0	
86_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
87_TraM_recognition_dom...faa	2	1	0	0	0	0	0	0	0	0	0	0	
88_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
89_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
90_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
91_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
92_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
93_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
94_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
95_DUF1830_domain-conta...faa	1	1	1	0	0	0	0	0	0	0	0	0	
96_hypothetical_protein.faa	1	2	1	0	0	0	0	0	0	0	0	0	
97_IS5-like_element_ISA...faa	15	0	0	0	0	0	0	0	0	0	0	0	
98_tetratricopeptide_re...faa	1	0	0	0	0	0	0	0	0	0	0	0	
99_class_I_SAM-dependen...faa	2	1	1	0	0	0	0	0	0	0	0	0	
100_Uma2_family_endonucl...faa	2	2	1	4	2	0	2	3	3	2	0	0	
101_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
102_ATP-grasp_domain-con...faa	3	0	0	0	0	0	0	0	0	0	0	0	
103_rod_shape-determinin...faa	2	0	0	0	0	0	0	0	0	0	0	0	
104_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
105_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
106_hypothetical_protein.faa	3	0	0	0	0	0	0	0	0	0	0	0	
107_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
108_class_I_SAM-dependen...faa	1	0	0	0	0	0	0	0	0	0	0	0	
109_DUF3768_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
110_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
111_helix-turn-helix_tra...faa	1	1	0	0	0	0	0	0	0	0	0	0	
112_hypothetical_protein.faa	3	2	2	0	1	0	0	0	0	0	0	0	
113_ATP-binding_protein.faa	2	2	1	0	0	0	0	0	0	0	0	0	
114_YHYH_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
115_sensor_histidine_kin...faa	1	0	0	0	0	0	0	0	0	0	0	0	
116_response_regulator_t...faa	1	0	0	0	0	0	0	0	0	0	0	0	
119_DoxX_family_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
120_GAF_domain-containin...faa	4	2	2	0	0	0	0	0	0	0	0	0	
121_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
122_hypothetical_protein.faa	1	1	0	0	0	0	0	0	0	0	0	0	
123_hypothetical_protein.faa	1	0	1	0	0	0	0	0	0	0	0	0	
124_hypothetical_protein.faa	2	2	2	0	0	0	0	0	0	0	0	0	
125_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
126_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
127_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
128_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
129_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
130_sigma-70_family_RNA_...faa	1	2	2	0	0	0	0	0	0	0	0	0	
131_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
132_hypothetical_protein.faa	1	2	3	0	0	0	0	0	0	0	0	0	
133_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
135_ParB-RepB-Spo0J_fami...faa	1	1	1	0	0	0	0	0	0	0	0	0	
136_hypothetical_protein.faa	1	1	0	0	0	0	0	0	0	0	0	0	
137_hypothetical_protein.faa	1	1	0	0	0	0	0	0	0	0	0	0	
138_DUF296_domain-contai...faa	1	1	0	0	0	0	0	0	0	0	0	0	
140_single-stranded_DNA-...faa	1	1	1	0	0	0	0	0	0	0	0	0	
141_hypothetical_protein.faa	2	1	1	0	0	0	0	0	0	0	0	0	
142_RNA-binding_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
143_methylated-DNA---pro...faa	1	0	0	0	0	0	0	0	0	0	0	0	
144_DMT_family_transport...faa	1	0	0	0	0	0	0	0	0	0	0	0	
145_LysR_family_transcri...faa	2	1	1	1	1	0	0	0	0	0	0	0	
146_ester_cyclase.faa	1	1	1	0	0	0	0	0	0	0	0	0	
147_zinc-binding_dehydro...faa	1	0	0	0	0	0	0	0	0	0	0	0	
148_LysR_family_transcri...faa	1	0	0	0	0	0	0	0	0	0	0	0	
149_nuclear_transport_fa...faa	1	0	0	0	0	0	0	0	0	0	0	0	
150_NADPH-dependent_F420...faa	2	1	1	1	0	0	0	0	0	0	0	0	
151_TetR-AcrR_family_tra...faa	3	1	1	1	1	0	0	0	0	0	0	0	
152_carboxymuconolactone...faa	2	1	1	1	2	0	0	0	0	0	0	0	
153_WecB-TagA-CpsF_famil...faa	2	0	0	0	0	0	0	0	0	0	0	0	
154_DUF2811_domain-conta...faa	2	2	2	0	0	0	0	0	0	0	0	0	
155_double-stranded_RNA_...faa	2	1	1	0	0	0	0	0	0	0	0	0	
156_IS1_family_transposa...faa	3	1	0	0	0	0	0	0	0	0	0	0	
157_cell_division_protei...faa	3	0	0	0	0	0	0	0	0	0	0	0	
158_hypothetical_protein.faa	6	0	0	0	0	0	0	0	0	0	0	0	
160_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
161_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
162_RNA-binding_protein.faa	3	0	0	0	0	0	0	0	0	0	0	0	
163_prohibitin_family_pr...faa	1	1	1	0	0	0	0	0	0	0	0	0	
164_IS4-like_element_ISA...faa	2	1	1	0	0	0	0	0	0	0	0	0	
165_istB.faa	4	0	0	0	0	0	0	0	0	0	0	0	
166_IS3_family_transposa...faa	5	0	0	0	0	0	0	0	0	0	0	0	
168_response_regulator.faa	1	0	0	0	0	0	0	0	0	0	0	0	
169_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
170_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
171_phycobilisome_rod-co...faa	1	0	0	0	0	0	0	0	0	0	0	0	
172_phycobilisome_linker...faa	2	0	0	0	0	0	0	0	0	0	0	0	
178_response_regulator.faa	1	0	0	0	0	0	0	0	0	0	0	0	
179_phycobilisome_rod-co...faa	2	0	0	0	0	0	0	0	0	0	0	0	
181_hemH.faa	2	0	0	0	0	0	0	0	0	0	0	0	
183_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
184_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
187_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
188_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
189_IS630_family_transpo...faa	4	2	0	0	0	0	0	0	0	0	0	0	
190_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
191_hypothetical_protein.faa	3	0	0	0	0	0	0	0	0	0	0	0	
192_hypothetical_protein.faa	5	0	0	0	0	0	0	0	0	0	0	0	
193_hypothetical_protein.faa	5	0	0	0	0	0	0	0	0	0	0	0	
194_type_II_toxin-antito...faa	3	0	0	0	0	0	0	0	0	0	0	0	
195_type_II_toxin-antito...faa	3	0	0	0	0	0	0	0	0	0	0	0	
196_tyrosine-type_recomb...faa	3	0	0	0	0	0	0	0	0	0	0	0	
197_DUF2887_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
198_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
199_2Fe-2S_iron-sulfur_c...faa	1	0	0	0	0	0	0	0	0	0	0	0	
200_DUF4253_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
201_IS5-like_element_ISA...faa	6	1	0	0	0	0	0	0	0	0	0	0	
202_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
203_sodium-dependent_bic...faa	2	1	1	0	0	0	0	0	0	0	0	0	
204_P-II_family_nitrogen...faa	1	1	1	0	0	0	0	0	0	0	0	0	
205_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
207_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
208_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
211_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
212_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
213_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
214_hypothetical_protein.faa	5	0	0	0	0	0	0	0	0	0	0	0	
215_hypothetical_protein.faa	3	0	0	0	0	0	0	0	0	0	0	0	
216_IS630-like_element_I...faa	8	2	0	0	1	0	0	0	0	0	0	0	
217_DUF1622_domain-conta...faa	4	0	0	1	0	0	0	0	0	0	0	0	
218_DUF2182_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
219_DUF1326_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
220_sulfatase-like_hydro...faa	1	0	0	0	0	0	0	0	0	0	0	0	
221_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
222_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
223_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
226_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
227_response_regulator.faa	2	0	0	0	0	0	0	0	0	0	0	0	
228_phycocyanobilin-ferr...faa	1	0	0	0	0	0	0	0	0	0	0	0	
232_transposase.faa	1	0	0	0	0	0	0	0	0	0	0	0	
233_transposase.faa	2	1	1	2	0	0	0	0	0	0	0	0	
242_NblA-ycf18_family_pr...faa	1	0	0	1	0	0	0	0	0	0	0	0	
243_hypothetical_protein.faa	3	2	1	0	0	0	0	0	0	0	0	0	
244_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
245_AraC_family_transcri...faa	1	0	0	0	0	0	0	0	0	0	0	0	
246_MAPEG_family_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
247_SDR_family_NAD-P--de...faa	1	0	0	0	0	0	0	0	0	0	0	0	
248_pentapeptide_repeat-...faa	2	0	0	0	0	0	0	0	0	0	0	0	
249_pentapeptide_repeat-...faa	2	0	0	0	0	0	0	0	0	0	0	0	
250_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
251_IS1-like_element_ISA...faa	1	0	0	0	0	0	0	0	0	0	0	0	
252_IS5-IS1182_family_tr...faa	1	0	0	0	0	0	0	0	0	0	0	0	
254_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
255_tnpA.faa	1	0	0	0	2	0	1	0	1	0	0	12	
256_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
257_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
258_response_regulator.faa	1	0	0	0	0	0	0	0	0	0	0	0	
259_alpha-beta_fold_hydr...faa	2	1	1	0	0	0	0	0	0	0	0	0	
260_transposase.faa	1	5	13	0	0	0	0	0	0	0	0	0	
262_ThiF_family_adenylyl...faa	1	0	0	0	0	0	0	0	0	0	0	0	
264_PD--D-E-XK_nuclease_...faa	1	0	0	0	0	0	0	0	0	0	0	0	
265_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
266_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
267_antibiotic_biosynthe...faa	1	1	0	0	0	0	0	0	0	0	0	0	
268_antibiotic_biosynthe...faa	1	0	0	0	0	0	0	0	0	0	0	0	
269_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
270_DUF1816_domain-conta...faa	2	1	1	0	0	0	0	0	0	0	0	0	
271_lipid-binding_SYLF_d...faa	2	0	0	0	0	0	0	0	0	0	0	0	
272_phosphoribosyltransf...faa	2	0	0	0	1	0	0	0	0	0	0	0	
273_DUF1816_domain-conta...faa	2	1	1	0	0	0	0	0	0	0	0	0	
275_zeta_toxin_family_pr...faa	1	0	0	0	0	0	0	0	0	0	0	0	
276_ParA_family_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
277_ParB-RepB-Spo0J_fami...faa	1	2	2	0	0	0	0	0	0	0	0	0	
278_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
279_hypothetical_protein.faa	4	0	1	0	0	0	0	0	0	0	0	0	
280_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
281_hypothetical_protein.faa	3	2	2	0	0	0	0	0	0	0	0	0	
282_bifunctional_5-10-me...faa	1	0	2	0	0	0	0	0	0	0	0	0	
283_hypothetical_protein.faa	1	0	2	0	0	0	0	0	0	0	0	0	
284_glycosyltransferase_...faa	1	1	1	0	0	0	0	0	0	0	0	0	
285_PD--D-E-XK_nuclease_...faa	2	1	2	0	0	0	0	0	0	0	0	0	
286_SRPBCC_family_protei...faa	1	0	0	0	0	0	0	0	0	0	0	0	
287_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
288_DUF5131_family_prote...faa	1	1	0	0	0	0	0	0	0	0	0	0	
289_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
290_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
291_response_regulator_t...faa	1	0	0	0	0	0	0	0	0	0	0	0	
292_ATP-binding_protein.faa	2	2	1	0	0	0	0	0	0	0	0	0	
293_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
294_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
295_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
296_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
297_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
298_DUF3768_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
299_hypothetical_protein.faa	2	1	2	0	0	0	0	0	0	0	0	0	
300_helix-turn-helix_dom...faa	1	0	0	0	0	0	0	0	0	0	0	0	
301_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
302_glyoxalase-bleomycin...faa	1	0	0	0	0	0	0	0	0	0	0	0	
303_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
304_zinc_ribbon_domain-c...faa	2	0	1	0	0	0	0	0	0	0	0	0	
305_DUF4158_domain-conta...faa	7	0	0	0	0	0	0	0	0	0	0	0	
306_ltrA.faa	1	0	0	0	0	0	0	0	0	0	0	0	
307_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
308_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
309_DUF4259_domain-conta...faa	3	0	1	0	0	0	0	0	0	0	0	0	
310_class_I_SAM-dependen...faa	1	0	0	0	0	0	0	0	0	0	0	0	
311_circadian_period_ext...faa	1	0	0	0	0	0	0	0	0	0	0	0	
312_hypothetical_protein.faa	2	2	1	0	0	0	0	0	0	0	0	0	
313_AbrB_family_transcri...faa	1	1	1	0	0	0	0	0	0	0	0	0	
314_HU_family_DNA-bindin...faa	2	1	1	0	0	0	0	0	0	0	0	0	
315_sigma-70_family_RNA_...faa	1	1	0	0	0	0	0	0	0	0	0	0	
316_pentapeptide_repeat-...faa	2	1	0	0	0	0	0	0	0	0	0	0	
317_DinB_family_protein.faa	1	1	0	1	1	0	0	0	0	0	0	0	
318_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
319_hypothetical_protein.faa	4	2	0	0	0	0	0	0	0	0	0	0	
320_hypothetical_protein.faa	4	0	0	0	0	0	0	0	0	0	0	0	
321_DUF4259_domain-conta...faa	2	1	0	0	0	0	0	0	0	0	0	0	
322_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
323_hypothetical_protein.faa	4	1	0	0	0	0	0	0	0	0	0	0	
324_AbrB_family_transcri...faa	4	1	1	0	0	0	0	0	0	0	0	0	
325_HU_family_DNA-bindin...faa	1	2	1	0	0	0	0	0	0	0	0	0	
326_sigma-70_family_RNA_...faa	1	1	2	0	0	0	0	0	0	0	0	0	
328_hypothetical_protein.faa	2	2	1	0	0	0	0	0	0	0	0	0	
329_HU_family_DNA-bindin...faa	1	0	0	0	0	0	0	0	0	0	0	0	
330_DUF4347_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
331_STAS_domain-containi...faa	3	0	0	0	0	0	0	0	0	0	0	0	
332_response_regulator.faa	1	0	0	0	0	0	0	0	0	0	0	0	
333_hybrid_sensor_histid...faa	2	0	0	0	0	0	0	0	0	0	0	0	
334_calcium-binding_prot...faa	2	0	0	0	0	0	0	0	0	0	0	0	
335_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
336_hypothetical_protein.faa	3	0	0	0	0	0	0	0	0	0	0	0	
338_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
339_hypothetical_protein.faa	1	1	0	0	0	0	0	0	0	0	0	0	
340_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
341_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
342_hypothetical_protein.faa	1	1	1	0	0	0	0	0	0	0	0	0	
343_relaxase_domain-cont...faa	3	2	2	0	0	0	0	0	0	0	0	0	
344_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
345_hypothetical_protein.faa	2	0	0	0	0	0	0	0	0	0	0	0	
346_hypothetical_protein.faa	2	0	1	0	0	0	0	0	0	0	0	0	
347_TraM_recognition_dom...faa	2	0	1	0	0	0	0	0	0	0	0	0	
348_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
350_hypothetical_protein.faa	6	0	0	0	0	0	0	0	0	0	0	0	
353_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
354_type_II_toxin-antito...faa	1	1	1	1	1	0	0	0	0	0	0	0	
355_hypothetical_protein.faa	1	0	1	0	0	0	0	0	0	0	0	0	
356_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
357_DUF3768_domain-conta...faa	2	1	1	0	0	0	0	0	0	0	0	0	
358_CAP_domain-containin...faa	1	0	0	0	0	0	0	0	0	0	0	0	
359_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
360_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
362_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
363_HAD-IIIA_family_hydr...faa	1	1	0	0	0	0	0	0	0	0	0	0	
364_hypothetical_protein.faa	4	0	0	0	0	0	0	0	0	0	0	0	
365_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
366_DUF4326_domain-conta...faa	1	0	0	0	0	0	0	0	0	0	0	0	
367_DUF488_family_protei...faa	3	0	0	0	0	0	0	0	0	0	0	0	
368_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
