Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA.gbff,Crocosphaera_subtropica_ATCC_51142.gbff,Rippkaea_orientalis_PCC_8801.gbff,cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1.gbff,cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko.gbff,cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB.gbff
34_recO.faa,,,,,,,,,,,,,,1,1,1,0,1,1
35_DUF751_family_protei...faa,,,,,,,,,,,,,,1,1,1,1,0,0
36_glycoside_hydrolase_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
37_prohibitin_family_pr...faa,,,,,,,,,,,,,,1,1,1,1,1,1
38_energy-coupling_fact...faa,,,,,,,,,,,,,,1,1,1,1,1,1
39_serine_hydroxymethyl...faa,,,,,,,,,,,,,,1,1,1,1,1,1
40_YcjF_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
41_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
42_mfd.faa,,,,,,,,,,,,,,1,1,1,1,1,1
43_NAD-P-H-quinone_oxid...faa,,,,,,,,,,,,,,1,1,1,1,1,1
44_nuoB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
45_ndhC.faa,,,,,,,,,,,,,,1,1,1,1,1,1
46_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
47_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
48_biotin---acetyl-CoA-...faa,,,,,,,,,,,,,,1,1,1,1,1,1
49_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,1,1,1,1,1
50_ferritin-like_domain...faa,,,,,,,,,,,,,,1,1,1,1,1,1
51_tyrS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
52_HAD_family_hydrolase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
53_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,1,0,0
54_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,0,1
55_CTP_synthase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
56_DUF1350_family_prote...faa,,,,,,,,,,,,,,1,1,1,1,0,1
57_glmU.faa,,,,,,,,,,,,,,1,1,1,1,1,1
58_bifunctional_-p-ppGp...faa,,,,,,,,,,,,,,1,1,1,1,1,1
59_patD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
60_Rieske_2Fe-2S_domain...faa,,,,,,,,,,,,,,1,1,1,1,1,1
61_hydrogenase_small_su...faa,,,,,,,,,,,,,,1,1,1,1,1,1
62_nickel-dependent_hyd...faa,,,,,,,,,,,,,,1,1,1,1,1,1
63_B12-binding_domain-c...faa,,,,,,,,,,,,,,1,1,1,1,1,1
64_rimM.faa,,,,,,,,,,,,,,1,1,1,1,1,1
65_STAS_domain-containi...faa,,,,,,,,,,,,,,1,1,1,1,1,1
66_Mini-ribonuclease_3.faa,,,,,,,,,,,,,,1,1,1,1,1,1
67_gpmI.faa,,,,,,,,,,,,,,1,1,1,1,1,1
68_secG.faa,,,,,,,,,,,,,,1,1,1,1,1,1
69_rnhA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
70_hpnH.faa,,,,,,,,,,,,,,1,1,1,1,1,1
71_lepA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
72_modA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
73_alpha-D-glucose_phos...faa,,,,,,,,,,,,,,1,1,1,1,1,1
74_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
75_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,0,0
76_coaD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
77_polyprenyl_synthetas...faa,,,,,,,,,,,,,,1,1,1,1,1,1
78_divergent_PAP2_famil...faa,,,,,,,,,,,,,,1,1,1,1,1,1
79_rpoD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
80_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,1,1,1,1,1
81_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
82_2Fe-2S_iron-sulfur_c...faa,,,,,,,,,,,,,,1,1,1,1,0,1
83_glycosyltransferase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
84_Na+-solute_symporter.faa,,,,,,,,,,,,,,1,1,0,1,0,0
85_rpmA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
86_rplU.faa,,,,,,,,,,,,,,1,1,1,1,1,1
87_rhodanese-like_domai...faa,,,,,,,,,,,,,,1,1,1,1,1,1
88_hrcA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
89_TRAP_transporter_sma...faa,,,,,,,,,,,,,,1,1,1,1,0,0
90_TRAP_transporter_lar...faa,,,,,,,,,,,,,,1,1,1,1,0,0
91_DUF1517_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
92_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
93_ATP-binding_cassette...faa,,,,,,,,,,,,,,1,1,1,1,1,1
94_MlaD_family_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
95_pds.faa,,,,,,,,,,,,,,1,1,1,1,1,1
96_phytoene_synthase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
97_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,1,1,1,0,0
98_ychF.faa,,,,,,,,,,,,,,1,1,1,1,1,1
99_petL.faa,,,,,,,,,,,,,,1,1,1,1,1,1
100_plsX.faa,,,,,,,,,,,,,,1,1,1,1,1,1
101_ketoacyl-ACP_synthas...faa,,,,,,,,,,,,,,1,1,1,1,1,1
102_fabD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
103_hypD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
104_SufE_family_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
105_D-alanyl-D-alanine_c...faa,,,,,,,,,,,,,,1,1,1,1,1,1
106_tsaB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
107_lysylphosphatidylgly...faa,,,,,,,,,,,,,,1,1,1,1,1,1
108_GTP-binding_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
109_lpxB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
110_lpxA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
111_IctB_family_putative...faa,,,,,,,,,,,,,,1,1,1,1,1,1
112_energy-coupling_fact...faa,,,,,,,,,,,,,,1,1,1,1,1,1
113_DUF3134_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
114_mraY.faa,,,,,,,,,,,,,,1,1,1,1,1,1
115_TlyA_family_RNA_meth...faa,,,,,,,,,,,,,,1,1,1,1,1,1
116_dnaN.faa,,,,,,,,,,,,,,1,1,1,1,1,1
117_menD.faa,,,,,,,,,,,,,,1,1,1,1,0,0
118_F0F1_ATP_synthase_su...faa,,,,,,,,,,,,,,1,1,1,1,1,1
119_atpA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
120_atpH.faa,,,,,,,,,,,,,,1,1,1,1,1,1
121_F0F1_ATP_synthase_su...faa,,,,,,,,,,,,,,1,1,1,1,1,1
122_F0F1_ATP_synthase_su...faa,,,,,,,,,,,,,,1,1,1,1,1,1
123_atpE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
124_atpB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
125_ATP_synthase_subunit...faa,,,,,,,,,,,,,,1,1,1,1,1,1
126_AbrB_family_transcri...faa,,,,,,,,,,,,,,1,1,1,1,1,1
127_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
128_CPBP_family_intramem...faa,,,,,,,,,,,,,,1,0,0,0,0,0
129_metallophosphoestera...faa,,,,,,,,,,,,,,1,1,1,1,0,0
130_pcrA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
131_trxA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
132_dihydroorotase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
133_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
134_pyridoxal_phosphate-...faa,,,,,,,,,,,,,,1,1,1,1,1,1
135_NADH-quinone_oxidore...faa,,,,,,,,,,,,,,1,1,1,1,1,1
136_NAD-P-H-quinone_oxid...faa,,,,,,,,,,,,,,1,1,1,1,1,1
137_cbiD.faa,,,,,,,,,,,,,,1,1,1,1,0,1
138_rhodanese-related_su...faa,,,,,,,,,,,,,,1,1,1,1,0,1
139_ribBA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
140_metallophosphoestera...faa,,,,,,,,,,,,,,1,1,1,1,1,1
141_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,1,1,1,1,1
142_glycosyltransferase_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
143_EamA_family_transpor...faa,,,,,,,,,,,,,,1,1,1,1,1,1
144_HU_family_DNA-bindin...faa,,,,,,,,,,,,,,1,1,1,0,1,1
145_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
146_DUF3326_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
147_DUF3531_family_prote...faa,,,,,,,,,,,,,,1,1,1,1,1,1
148_glyS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
149_rsgA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
150_sulfurtransferase_Tu...faa,,,,,,,,,,,,,,1,1,1,1,1,1
151_dnaJ.faa,,,,,,,,,,,,,,1,1,1,1,1,1
152_DNA_polymerase_III_s...faa,,,,,,,,,,,,,,1,1,1,1,1,1
153_DUF3386_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
154_DUF1995_family_prote...faa,,,,,,,,,,,,,,1,1,1,1,0,0
155_ribH.faa,,,,,,,,,,,,,,1,1,1,1,1,1
156_frr.faa,,,,,,,,,,,,,,1,1,1,1,1,1
157_pyrH.faa,,,,,,,,,,,,,,1,1,1,1,1,1
158_DUF2839_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,0,0
159_map.faa,,,,,,,,,,,,,,1,1,1,1,1,1
160_sbcD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
161_2-oxo_acid_dehydroge...faa,,,,,,,,,,,,,,1,1,1,1,1,1
162_bifunctional_sterol_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
163_UbiD_family_decarbox...faa,,,,,,,,,,,,,,1,0,1,1,1,1
164_gyrB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
165_cobA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
166_cobalamin_biosynthes...faa,,,,,,,,,,,,,,1,1,1,1,1,1
167_DUF3038_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
168_DUF4335_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
169_recF.faa,,,,,,,,,,,,,,1,1,1,1,1,1
170_transposase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
171_carA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
172_phosphatidate_cytidy...faa,,,,,,,,,,,,,,1,1,1,1,1,1
173_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,0,0
174_rpe.faa,,,,,,,,,,,,,,1,1,1,1,1,1
175_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
176_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,1,1,1,0,0
177_phosphorylase_superf...faa,,,,,,,,,,,,,,1,1,1,1,1,1
178_YlqD_family_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
179_AMP-binding_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
180_D-alanyl-D-alanine_c...faa,,,,,,,,,,,,,,1,1,1,1,1,1
181_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
182_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
183_coaE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
184_sugar_ABC_transporte...faa,,,,,,,,,,,,,,1,1,1,1,1,1
185_DUF3611_family_prote...faa,,,,,,,,,,,,,,1,1,1,1,1,1
186_DUF565_domain-contai...faa,,,,,,,,,,,,,,1,1,1,1,1,1
187_ROK_family_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
188_beta-glucosidase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
189_rbfA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
190_thiS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
191_thiamine_phosphate_s...faa,,,,,,,,,,,,,,1,1,1,1,1,1
192_transaldolase.faa,,,,,,,,,,,,,,1,1,1,0,0,1
193_DUF3172_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
194_DUF4359_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
195_segregation-condensa...faa,,,,,,,,,,,,,,1,1,1,1,0,1
196_NDP-sugar_synthase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
197_lipid-A-disaccharide...faa,,,,,,,,,,,,,,1,1,1,1,1,1
198_UDP-sulfoquinovose_s...faa,,,,,,,,,,,,,,1,1,1,1,1,1
199_methyltransferase_do...faa,,,,,,,,,,,,,,1,1,0,1,1,1
200_mnmG.faa,,,,,,,,,,,,,,1,1,1,1,1,1
201_CPBP_family_intramem...faa,,,,,,,,,,,,,,1,1,1,1,1,1
202_glycosyltransferase_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
203_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
204_PBP1A_family_penicil...faa,,,,,,,,,,,,,,1,1,1,1,1,1
205_trans-splicing_intei...faa,,,,,,,,,,,,,,1,1,1,1,1,1
206_sds.faa,,,,,,,,,,,,,,1,1,1,1,1,1
207_murI.faa,,,,,,,,,,,,,,1,1,1,1,1,1
208_cation-proton_antipo...faa,,,,,,,,,,,,,,1,1,1,1,1,1
209_glucokinase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
210_proB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
211_petE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
212_typA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
213_hemB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
214_lgt.faa,,,,,,,,,,,,,,1,1,1,1,1,1
215_HDIG_domain-containi...faa,,,,,,,,,,,,,,1,1,1,1,1,1
216_S-layer_homology_dom...faa,,,,,,,,,,,,,,1,1,1,1,1,1
217_DegT-DnrJ-EryC1-StrS...faa,,,,,,,,,,,,,,1,1,1,1,1,1
218_cysK.faa,,,,,,,,,,,,,,1,1,1,1,1,1
219_iron_uptake_porin.faa,,,,,,,,,,,,,,1,1,1,1,1,1
220_bifunctional_folylpo...faa,,,,,,,,,,,,,,1,1,1,1,1,1
221_sulfite_exporter_Tau...faa,,,,,,,,,,,,,,1,1,1,1,1,1
222_cytochrome_c_biogene...faa,,,,,,,,,,,,,,1,1,1,1,1,1
223_rplL.faa,,,,,,,,,,,,,,1,1,1,1,1,1
224_rplJ.faa,,,,,,,,,,,,,,1,1,1,1,1,1
225_rplA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
226_rplK.faa,,,,,,,,,,,,,,1,1,1,1,1,1
227_nusG.faa,,,,,,,,,,,,,,1,1,1,1,1,1
228_secE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
229_DNA-directed_RNA_pol...faa,,,,,,,,,,,,,,1,1,1,1,1,1
230_phosphomannose_isome...faa,,,,,,,,,,,,,,1,1,1,1,1,1
231_psaC.faa,,,,,,,,,,,,,,1,1,1,1,0,0
232_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
233_glycosyltransferase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
234_phospholipid_carrier...faa,,,,,,,,,,,,,,1,1,1,1,1,1
235_NAD-+-_kinase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
236_photosystem_I_reacti...faa,,,,,,,,,,,,,,1,1,1,1,0,0
237_rplY.faa,,,,,,,,,,,,,,1,1,1,1,1,1
238_PD--D-E-XK_nuclease_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
239_DUF3747_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
240_atpC.faa,,,,,,,,,,,,,,1,1,1,1,1,1
241_atpD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
242_tadA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
243_polA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
244_cupin.faa,,,,,,,,,,,,,,1,1,1,1,1,1
245_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
246_ribE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
247_DNA_cytosine_methylt...faa,,,,,,,,,,,,,,1,1,1,1,1,1
248_S41_family_peptidase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
249_glyQ.faa,,,,,,,,,,,,,,1,1,1,1,1,1
250_GIY-YIG_nuclease_fam...faa,,,,,,,,,,,,,,1,0,1,1,0,0
251_ffh.faa,,,,,,,,,,,,,,1,1,1,1,1,1
252_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
253_yidD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
254_pgsA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
255_TldD-PmbA_family_pro...faa,,,,,,,,,,,,,,1,1,1,1,1,1
256_FAD-dependent_oxidor...faa,,,,,,,,,,,,,,1,1,1,1,1,1
257_rsmI.faa,,,,,,,,,,,,,,1,1,1,1,1,1
258_dusB.faa,,,,,,,,,,,,,,1,1,1,0,0,1
259_guaA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
260_PspA-IM30_family_pro...faa,,,,,,,,,,,,,,1,1,1,1,1,1
261_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
262_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,1,1,1,1,1
263_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,1,1,1,1,1
264_phycocyanobilin-ferr...faa,,,,,,,,,,,,,,1,1,1,1,0,1
265_DUF2103_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
266_clpS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
267_DUF1997_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,0,0
268_photosystem_I_reacti...faa,,,,,,,,,,,,,,1,1,1,1,0,0
269_DNA-formamidopyrimid...faa,,,,,,,,,,,,,,1,1,1,1,1,1
270_DNA_topoisomerase_4_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
271_peroxiredoxin.faa,,,,,,,,,,,,,,1,1,1,1,1,1
272_rpmB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
273_lysylphosphatidylgly...faa,,,,,,,,,,,,,,1,1,1,1,1,1
274_hydrogenase_maturati...faa,,,,,,,,,,,,,,1,1,1,1,1,1
275_cobD.faa,,,,,,,,,,,,,,1,1,1,1,0,1
276_HU_family_DNA-bindin...faa,,,,,,,,,,,,,,1,1,1,1,1,1
277_dxs.faa,,,,,,,,,,,,,,1,1,1,1,1,1
278_ferredoxin--nitrite_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
279_DUF309_domain-contai...faa,,,,,,,,,,,,,,1,1,1,1,1,1
280_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
281_yidC.faa,,,,,,,,,,,,,,1,1,1,1,1,1
282_rnpA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
283_rpmH.faa,,,,,,,,,,,,,,1,1,1,1,1,1
284_isoprenyl_transferas...faa,,,,,,,,,,,,,,1,1,1,1,1,1
285_cdaA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
286_lysA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
287_30S_ribosomal_protei...faa,,,,,,,,,,,,,,1,1,1,1,1,1
288_TerB_family_tellurit...faa,,,,,,,,,,,,,,1,1,1,1,1,1
289_16S_rRNA_-cytosine-9...faa,,,,,,,,,,,,,,1,1,1,1,1,1
290_precorrin-2_C-20--me...faa,,,,,,,,,,,,,,1,1,1,1,0,1
291_rpsD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
292_M20_family_metallope...faa,,,,,,,,,,,,,,1,1,1,1,1,1
293_anhydro-N-acetylmura...faa,,,,,,,,,,,,,,1,1,1,1,1,1
294_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,1,1,1,0,0
295_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,0,1,1
296_SagB-ThcOx_family_de...faa,,,,,,,,,,,,,,1,1,1,1,0,1
297_Bax_inhibitor-1_fami...faa,,,,,,,,,,,,,,1,1,1,1,1,1
298_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,0,0
299_DUF3288_family_prote...faa,,,,,,,,,,,,,,1,1,1,1,1,1
300_fatty_acid_desaturas...faa,,,,,,,,,,,,,,1,1,1,1,1,1
302_ftsH.faa,,,,,,,,,,,,,,1,1,1,1,1,1
303_DUF3685_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
304_NAD-P--dependent_oxi...faa,,,,,,,,,,,,,,1,1,1,1,1,1
305_hemE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
306_rhomboid_family_intr...faa,,,,,,,,,,,,,,1,1,1,1,1,1
307_folB.faa,,,,,,,,,,,,,,1,1,1,1,0,1
308_DUF3318_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
309_aminotransferase_cla...faa,,,,,,,,,,,,,,1,1,1,1,1,1
310_NAD-P-H-quinone_oxid...faa,,,,,,,,,,,,,,1,1,1,1,1,1
311_recR.faa,,,,,,,,,,,,,,1,1,1,1,1,1
312_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,0,0
313_YqeG_family_HAD_IIIA...faa,,,,,,,,,,,,,,1,1,1,1,1,1
314_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,1,1,1,0,0
315_minE.faa,,,,,,,,,,,,,,1,1,1,1,1,1
316_minD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
317_septum_site-determin...faa,,,,,,,,,,,,,,1,1,1,1,1,1
318_gorA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
319_photosystem_I_assemb...faa,,,,,,,,,,,,,,1,1,1,1,0,0
320_peptidylprolyl_isome...faa,,,,,,,,,,,,,,1,1,1,1,1,1
321_ppk1.faa,,,,,,,,,,,,,,1,1,1,1,1,1
322_plsY.faa,,,,,,,,,,,,,,1,1,1,1,1,1
323_DUF3086_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,1,1
324_glycosyltransferase_...faa,,,,,,,,,,,,,,1,1,1,1,0,0
325_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,1,1,1,1,1
326_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,1,1,1,1,1
327_fetB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
328_glycosyltransferase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
329_rplS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
330_cobO.faa,,,,,,,,,,,,,,1,1,1,1,0,1
331_glmS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
332_rnc.faa,,,,,,,,,,,,,,1,1,1,1,1,1
333_gltB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
334_magnesium_chelatase_...faa,,,,,,,,,,,,,,1,1,1,1,0,1
335_glucose-6-phosphate_...faa,,,,,,,,,,,,,,1,1,1,1,1,1
336_lpxC.faa,,,,,,,,,,,,,,1,1,1,1,1,1
337_BamA-TamA_family_out...faa,,,,,,,,,,,,,,1,1,1,1,1,1
338_glucosamine-6-phosph...faa,,,,,,,,,,,,,,1,1,1,1,1,1
339_MFS_transporter.faa,,,,,,,,,,,,,,1,1,1,1,1,1
340_exopolysaccharide_bi...faa,,,,,,,,,,,,,,1,1,1,1,1,1
341_D-alanine--D-alanine...faa,,,,,,,,,,,,,,1,1,1,1,1,1
342_trans-splicing_intei...faa,,,,,,,,,,,,,,1,1,1,1,1,1
343_THUMP_domain-contain...faa,,,,,,,,,,,,,,1,1,1,1,1,1
344_glycosyltransferase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
345_sugar_transferase.faa,,,,,,,,,,,,,,1,1,1,1,1,1
