Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Calothrix_sp_336-3_336-3.gbff,Calothrix_sp_NIES-3974_NIES-3974.gbff,Calothrix_sp_NIES-4071_NIES-4071.gbff,Calothrix_sp_NIES-4105_NIES-4105.gbff,Calothrix_sp_PCC_6303_PCC_6303.gbff,Calothrix_sp_PCC_7716_PCC_7716.gbff
21_IS1_family_transposa...faa,,,,,,,,,,,,,,1,0,0,0,0,0
22_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
23_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
24_MarR_family_transcri...faa,,,,,,,,,,,,,,1,0,0,0,0,1
25_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0
27_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
29_glutathione_S-transf...faa,,,,,,,,,,,,,,1,0,1,1,0,1
30_alpha-ketoglutarate-...faa,,,,,,,,,,,,,,1,0,0,0,0,0
31_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
32_helix-turn-helix_dom...faa,,,,,,,,,,,,,,1,0,1,1,0,1
33_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
34_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
35_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
36_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
37_GMC_oxidoreductase.faa,,,,,,,,,,,,,,1,0,1,1,0,0
38_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
39_glutathione_S-transf...faa,,,,,,,,,,,,,,1,0,0,0,1,1
40_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
41_ParB-RepB-Spo0J_fami...faa,,,,,,,,,,,,,,1,0,1,1,0,1
42_ParA_family_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
43_ISAzo13_family_trans...faa,,,,,,,,,,,,,,1,0,0,0,1,0
44_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
45_tyrosine-type_recomb...faa,,,,,,,,,,,,,,1,0,0,0,0,0
46_transposase.faa,,,,,,,,,,,,,,1,0,0,0,0,0
47_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
48_ParA_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
49_type_IV_secretion_sy...faa,,,,,,,,,,,,,,1,0,0,0,0,0
50_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
51_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
52_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
53_VWA_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0
54_protein_kinase.faa,,,,,,,,,,,,,,1,0,0,0,0,0
55_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
57_DNA_methyltransferas...faa,,,,,,,,,,,,,,1,0,1,1,0,1
58_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
59_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
60_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
61_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
62_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
63_MobA-MobL_family_pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0
64_TIR_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0
65_CHASE2_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0
66_DUF928_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0
67_CHAT_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0
68_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
69_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,1
70_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
71_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
72_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
73_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,1
74_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,0
75_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,0
76_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
77_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
78_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
79_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
80_XRE_family_transcrip...faa,,,,,,,,,,,,,,1,0,1,1,0,1
81_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
82_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
83_tyrosine-type_recomb...faa,,,,,,,,,,,,,,1,0,0,0,0,0
84_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
85_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,1,1,0,0
86_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
87_recombinase_family_p...faa,,,,,,,,,,,,,,1,0,0,0,1,0
89_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
90_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
91_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
92_recombinase_family_p...faa,,,,,,,,,,,,,,1,0,0,0,0,0
93_PDDEXK_nuclease_doma...faa,,,,,,,,,,,,,,1,0,1,1,1,1
94_ankyrin_repeat_domai...faa,,,,,,,,,,,,,,1,0,0,0,0,0
95_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
97_DUF6531_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0
98_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
99_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,1
100_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
107_methyltransferase_ty...faa,,,,,,,,,,,,,,1,0,0,0,1,0
113_DUF423_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,1,1
114_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
115_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
121_DUF952_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,1,1
126_KTSC_domain-containi...faa,,,,,,,,,,,,,,1,0,1,1,1,1
127_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
129_filamentous_hemagglu...faa,,,,,,,,,,,,,,1,0,1,1,1,1
132_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
138_NAD-P--FAD-dependent...faa,,,,,,,,,,,,,,1,0,1,1,1,1
139_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
142_SGNH-GDSL_hydrolase_...faa,,,,,,,,,,,,,,1,0,0,0,1,0
143_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
144_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
145_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
147_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
149_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,1,1,1,1
150_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,0,0,0,1
151_HigA_family_addictio...faa,,,,,,,,,,,,,,1,0,1,1,0,1
152_aminoglycoside_phosp...faa,,,,,,,,,,,,,,1,0,1,1,0,1
153_CHAT_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0
160_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
161_C39_family_peptidase.faa,,,,,,,,,,,,,,1,0,0,0,0,0
162_glycoside_hydrolase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0
163_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
164_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
165_AAA-like_domain-cont...faa,,,,,,,,,,,,,,1,0,1,1,1,1
166_AAA-like_domain-cont...faa,,,,,,,,,,,,,,1,0,0,0,0,0
177_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0
186_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,0
188_serine-threonine_pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0
189_ankyrin_repeat_domai...faa,,,,,,,,,,,,,,1,0,0,0,0,1
192_calcium-binding_prot...faa,,,,,,,,,,,,,,1,0,0,0,1,0
193_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
199_HlyD_family_efflux_t...faa,,,,,,,,,,,,,,1,0,0,0,1,1
200_DUF4177_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0
201_leucine-rich_repeat_...faa,,,,,,,,,,,,,,1,0,0,0,0,0
202_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,1,1
203_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
204_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
205_lepB.faa,,,,,,,,,,,,,,1,0,0,0,0,0
210_ankyrin_repeat_domai...faa,,,,,,,,,,,,,,1,0,0,0,0,0
211_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,0
212_AraC_family_transcri...faa,,,,,,,,,,,,,,1,0,0,0,0,1
213_cupin_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,1
214_DUF4386_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,1
215_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,0,1
227_SDR_family_oxidoredu...faa,,,,,,,,,,,,,,1,0,0,0,0,1
234_calcium-binding_prot...faa,,,,,,,,,,,,,,1,0,0,0,0,0
237_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
238_DUF1634_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0
243_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,0
244_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,0
249_DUF559_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0
250_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,1,0
251_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
257_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
258_glutathione_S-transf...faa,,,,,,,,,,,,,,1,0,1,1,1,1
270_P2_GpE_family_protei...faa,,,,,,,,,,,,,,1,0,0,0,0,0
279_alkaline_phosphatase.faa,,,,,,,,,,,,,,1,0,1,1,0,0
282_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
284_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
285_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
286_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
291_transglutaminase_fam...faa,,,,,,,,,,,,,,1,0,0,0,0,0
292_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0
293_recombinase_RecA.faa,,,,,,,,,,,,,,1,0,1,1,0,1
294_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
296_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
297_CHAT_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0
298_DUF3365_domain-conta...faa,,,,,,,,,,,,,,1,0,1,1,1,1
299_DUF1822_family_prote...faa,,,,,,,,,,,,,,1,0,1,1,0,1
300_CHAT_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,1
302_NB-ARC_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,1,1
303_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
304_glycoside_hydrolase_...faa,,,,,,,,,,,,,,1,0,1,1,0,0
305_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,1
306_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
308_glutathione_S-transf...faa,,,,,,,,,,,,,,1,0,0,0,0,0
309_DUF3611_family_prote...faa,,,,,,,,,,,,,,1,0,1,1,0,1
310_response_regulator.faa,,,,,,,,,,,,,,1,0,1,1,0,1
311_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
314_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
315_DUF2254_domain-conta...faa,,,,,,,,,,,,,,1,0,1,1,0,1
316_potassium_channel_fa...faa,,,,,,,,,,,,,,1,0,1,1,1,1
317_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
318_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
319_DUF1993_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,1
320_glutathione_S-transf...faa,,,,,,,,,,,,,,1,0,1,1,1,1
321_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
322_DUF2834_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0
323_helix-turn-helix_tra...faa,,,,,,,,,,,,,,1,0,0,0,0,0
327_DUF389_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,0,1
329_mechanosensitive_ion...faa,,,,,,,,,,,,,,1,0,1,1,0,1
330_2Fe-2S_iron-sulfur_c...faa,,,,,,,,,,,,,,1,0,1,1,1,1
331_aquaporin.faa,,,,,,,,,,,,,,1,0,0,0,0,0
333_peptidoglycan-bindin...faa,,,,,,,,,,,,,,1,0,0,0,1,0
334_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0
338_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
340_SDR_family_oxidoredu...faa,,,,,,,,,,,,,,1,0,1,1,0,1
342_DUF6516_family_prote...faa,,,,,,,,,,,,,,1,0,0,0,0,0
343_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
344_AIPR_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
345_amylo-alpha-1-6-gluc...faa,,,,,,,,,,,,,,1,0,1,1,0,1
346_GAF_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,1,0
349_glpK.faa,,,,,,,,,,,,,,1,0,1,1,1,1
353_BamA-TamA_family_out...faa,,,,,,,,,,,,,,1,0,1,1,0,1
355_peptidoglycan-bindin...faa,,,,,,,,,,,,,,1,0,0,0,0,0
356_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,1,1,0,0
361_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,0,0,0,0,0
363_cupin_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0
364_sigma-70_family_RNA_...faa,,,,,,,,,,,,,,1,0,1,1,0,1
365_MFS_transporter.faa,,,,,,,,,,,,,,1,0,1,1,0,1
367_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
368_formylglycine-genera...faa,,,,,,,,,,,,,,1,0,0,0,0,0
369_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,0,0,0,0
371_formylglycine-genera...faa,,,,,,,,,,,,,,1,0,1,1,0,0
372_VWA_containing_CoxE_...faa,,,,,,,,,,,,,,1,0,1,1,0,0
373_MoxR_family_ATPase.faa,,,,,,,,,,,,,,1,0,1,1,0,1
374_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
375_CHAT_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0
376_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,0
384_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
385_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
387_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,1,1,1,1
389_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
391_heme_oxygenase_-bili...faa,,,,,,,,,,,,,,1,0,1,1,1,1
396_peptidylprolyl_isome...faa,,,,,,,,,,,,,,1,0,1,1,0,1
398_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,1
399_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
400_aldolase-citrate_lya...faa,,,,,,,,,,,,,,1,0,1,1,0,1
401_2OG-Fe_dioxygenase_f...faa,,,,,,,,,,,,,,1,0,1,1,0,1
403_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
404_PRC-barrel_domain-co...faa,,,,,,,,,,,,,,1,0,0,0,0,0
405_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
406_protein-glutamate_O-...faa,,,,,,,,,,,,,,1,0,1,1,0,1
407_chemotaxis_response_...faa,,,,,,,,,,,,,,1,0,1,1,0,1
408_methyl-accepting_che...faa,,,,,,,,,,,,,,1,0,1,1,0,1
409_chemotaxis_protein_C...faa,,,,,,,,,,,,,,1,0,1,1,0,1
410_chemotaxis_protein_C...faa,,,,,,,,,,,,,,1,0,1,1,0,1
411_response_regulator.faa,,,,,,,,,,,,,,1,0,1,1,0,1
412_chemotaxis_protein_C...faa,,,,,,,,,,,,,,1,0,1,1,0,1
413_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
415_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
416_serine_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0
417_pbpC.faa,,,,,,,,,,,,,,1,0,0,0,0,0
418_alpha-2-macroglobuli...faa,,,,,,,,,,,,,,1,0,0,0,0,0
425_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,1,1,0,0
428_choice-of-anchor_K_d...faa,,,,,,,,,,,,,,1,0,1,1,1,1
429_DUF58_domain-contain...faa,,,,,,,,,,,,,,1,0,1,1,0,1
430_MoxR_family_ATPase.faa,,,,,,,,,,,,,,1,0,1,1,0,1
434_PAS_domain_S-box_pro...faa,,,,,,,,,,,,,,1,0,1,1,1,1
435_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
437_GerMN_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0
440_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
445_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
449_DUF433_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0
455_DUF2127_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0
463_AbrB-MazE-SpoVT_fami...faa,,,,,,,,,,,,,,1,0,0,0,1,1
464_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,0,0,1,1
467_ThiF_family_adenylyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0
471_N-acetylmannosamine-...faa,,,,,,,,,,,,,,1,0,0,0,0,0
472_alkaline_phosphatase...faa,,,,,,,,,,,,,,1,0,0,0,1,1
473_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
474_bifunctional_metallo...faa,,,,,,,,,,,,,,1,0,0,0,0,0
477_dusA.faa,,,,,,,,,,,,,,1,0,1,1,1,1
487_membrane_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
489_helix-turn-helix_dom...faa,,,,,,,,,,,,,,1,0,0,0,0,0
492_peptidylprolyl_isome...faa,,,,,,,,,,,,,,1,0,0,0,0,0
493_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
497_phycobilisome_rod-co...faa,,,,,,,,,,,,,,1,0,1,1,1,1
499_cation-proton_antipo...faa,,,,,,,,,,,,,,1,0,1,1,0,1
500_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
501_AMIN_domain-containi...faa,,,,,,,,,,,,,,1,0,0,1,1,1
502_CRISPR-associated_pr...faa,,,,,,,,,,,,,,1,0,0,0,0,0
504_cas10.faa,,,,,,,,,,,,,,1,0,0,0,0,0
505_RAMP_superfamily_CRI...faa,,,,,,,,,,,,,,1,0,0,0,0,0
506_csx10.faa,,,,,,,,,,,,,,1,0,0,0,0,0
507_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
510_csx7.faa,,,,,,,,,,,,,,1,0,0,0,0,0
511_RAMP_superfamily_CRI...faa,,,,,,,,,,,,,,1,0,0,0,0,0
512_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
513_RAMP_superfamily_CRI...faa,,,,,,,,,,,,,,1,0,0,0,0,0
514_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
520_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
521_ribbon-helix-helix_p...faa,,,,,,,,,,,,,,1,0,1,1,1,1
522_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
523_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
524_GAF_domain-containin...faa,,,,,,,,,,,,,,1,0,1,1,0,0
530_caspase_family_prote...faa,,,,,,,,,,,,,,1,0,1,1,0,0
531_caspase_family_prote...faa,,,,,,,,,,,,,,1,0,1,1,0,1
533_CHASE2_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,1,1
534_DUF928_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,0,1
537_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
538_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
544_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
548_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
549_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
550_TdeIII_family_type_I...faa,,,,,,,,,,,,,,1,0,0,0,0,0
554_NF038130_family_PEP-...faa,,,,,,,,,,,,,,1,0,1,1,0,0
558_DUF4349_domain-conta...faa,,,,,,,,,,,,,,1,0,1,1,0,1
562_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,1,1
563_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
564_HD_domain-containing...faa,,,,,,,,,,,,,,1,0,1,1,0,1
568_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,1,1,1,1
571_Uma2_family_endonucl...faa,,,,,,,,,,,,,,1,0,1,1,1,0
573_HAMP_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,0,0
574_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
582_PAS_domain_S-box_pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0
583_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
587_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,1,1
590_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
596_XisH_family_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,1
597_XisI_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,0
602_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
605_replication_restart_...faa,,,,,,,,,,,,,,1,0,1,1,1,1
608_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,1
614_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,1,0
618_AbrB-MazE-SpoVT_fami...faa,,,,,,,,,,,,,,1,0,0,0,1,0
619_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,1,1,1,0
620_toxin-antitoxin_syst...faa,,,,,,,,,,,,,,1,0,1,1,1,1
621_putative_toxin-antit...faa,,,,,,,,,,,,,,1,0,1,1,1,0
622_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,1
623_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
626_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0
627_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
629_DUF11_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0
640_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
641_WD40_repeat_domain-c...faa,,,,,,,,,,,,,,1,0,0,0,1,0
642_CHAT_domain-containi...faa,,,,,,,,,,,,,,1,0,0,0,1,0
643_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0
644_DUF928_domain-contai...faa,,,,,,,,,,,,,,1,0,1,1,1,1
648_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
649_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0
651_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,1,0
652_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,1,1,0,0
653_fasciclin_domain-con...faa,,,,,,,,,,,,,,1,0,1,1,1,1
655_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,1,0
656_chlorophyll_a-b-bind...faa,,,,,,,,,,,,,,1,0,0,0,0,0
658_allophycocyanin.faa,,,,,,,,,,,,,,1,0,0,0,1,0
