Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Chamaesiphon_minutus_PCC_6605_GCF_000317145.1_genomic.gbff,Chondrocystis_sp_NIES-4102_GCF_002368355.1_genomic.gbff,Cyanobacterium_aponinum_PCC_10605_GCF_000317675.1_genomic.gbff,Dactylococcopsis_salina_PCC_8305_GCF_000317615.1_genomic.gbff,Euhalothece_natronophila_Z-M001_GCF_007904085.1_genomic.gbff,Geminocystis_herdmanii_PCC_6308_GCF_000332235.1_genomic.gbff,Geminocystis_sp_NIES-3708_GCF_001548095.1_genomic.gbff,Geminocystis_sp_NIES-3709_GCF_001548115.1_genomic.gbff,Halothece_sp_PCC_7418_GCF_000317635.1_genomic.gbff,Stanieria_cyanosphaera_PCC_7437_GCF_000317575.1_genomic.gbff,Stanieria_sp_NIES-3757_GCF_002355455.1_genomic.gbff
21_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
23_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
24_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
27_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
28_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
30_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
34_EndoU_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
35_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
37_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
38_mucoidy_inhibitor_Mu...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
39_GAF_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
40_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,1
41_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
43_DDE-type_integrase-t...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
44_ATP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
48_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
49_DUF2809_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
53_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0
54_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
55_SH3_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
57_LysR_family_transcri...faa,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,1,0
59_response_regulator_t...faa,,,,,,,,,,,,,,1,1,1,0,0,1,1,1,1,1,1
64_beta-ketoacyl-ACP_sy...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
65_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,1,0,0,1,0,1,0,0,0
66_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
68_MBL_fold_metallo-hyd...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
69_adenylate-forming_en...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
70_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
71_RNA_2--phosphotransf...faa,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,1,1
72_L-D-transpeptidase_f...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
75_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
81_phytochelatin_syntha...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
85_serine-threonine-pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
86_ParB_N-terminal_doma...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
87_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
90_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
93_VOC_family_protein.faa,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,0,0
94_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
95_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
96_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
97_TetR-AcrR_family_tra...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
98_efflux_RND_transport...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
99_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
100_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
101_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
102_TolC_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
104_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
105_acyl_carrier_protein...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
106_aldo-keto_reductase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
107_Uma2_family_endonucl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
108_Uma2_family_endonucl...faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,1,1,1
110_DUF4291_family_prote...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
111_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0
112_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1
113_saccharopine_dehydro...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
115_PIN_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
117_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,1
118_nucleotidyltransfera...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0
121_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0
122_glycosyltransferase_...faa,,,,,,,,,,,,,,1,1,1,0,0,1,1,1,0,1,1
125_methyl-accepting_che...faa,,,,,,,,,,,,,,1,1,0,0,0,1,1,0,0,0,1
126_OmpA_family_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,0,1,1,0,0,1
127_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
129_transposase.faa,,,,,,,,,,,,,,1,1,1,0,0,1,0,0,0,1,1
133_MFS_transporter.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
140_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
144_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,1
146_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
148_cytidine_deaminase.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,1
150_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
152_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
153_M14_family_metallope...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
154_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
156_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
159_MGMT_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
163_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
166_ankyrin_repeat_domai...faa,,,,,,,,,,,,,,1,0,0,0,0,1,1,1,0,1,1
167_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
168_DUF1822_family_prote...faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,1,0,0
169_ABC_transporter_subs...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
173_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
174_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
175_ATP-grasp_domain-con...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
176_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
177_COP23_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
178_bcp.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
181_purT.faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,1
182_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
183_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
186_dienelactone_hydrola...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
189_helix-turn-helix_dom...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
190_macro_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
192_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
193_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
194_DUF5724_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
195_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
196_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
197_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,1,0
198_DUF104_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
199_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
201_DUF433_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
202_type_II_toxin-antito...faa,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0
205_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
207_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
210_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
212_ferritin-like_domain...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
213_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
215_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
219_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
221_DUF433_domain-contai...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
228_alpha-beta_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
230_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,1
231_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
232_calcium-binding_prot...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
233_AraC_family_transcri...faa,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1
234_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
235_DUF4351_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
236_RNA_ligase_family_pr...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
237_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
238_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
239_RNA_repair_domain-co...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
242_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
245_ATP-binding_protein.faa,,,,,,,,,,,,,,1,1,1,0,0,1,1,1,0,1,1
247_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
248_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
250_glutathione_peroxida...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
251_cobalt-precorrin-6A_...faa,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,1,1
252_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
253_S-layer_homology_dom...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
256_GntR_family_transcri...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
263_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
264_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
266_ribbon-helix-helix_p...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0
272_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
273_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
277_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
281_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
282_WD40_repeat_domain-c...faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,0,0
285_transposase_family_p...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,1
286_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
289_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
291_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1
292_glycosyltransferase_...faa,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0
293_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
295_glycosyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
296_DegT-DnrJ-EryC1-StrS...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
297_FdtA-QdtA_family_cup...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
298_acyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
299_N-acetyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
303_ureE.faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,1,1,1
305_rpsF.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
306_fatty_acid_desaturas...faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,0,0
308_pentapeptide_repeat-...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
310_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,1
311_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,0,1,1,1,0,0,1
322_PPC_domain-containin...faa,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1
323_lspA.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
327_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
329_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
330_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
331_DegT-DnrJ-EryC1-StrS...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
333_DegT-DnrJ-EryC1-StrS...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
334_methyltransferase-_T...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
335_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
336_glycosyltransferase_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
339_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
341_AAA-like_domain-cont...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
342_AAA-like_domain-cont...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
343_aspartoacylase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
345_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
346_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
348_ppk2.faa,,,,,,,,,,,,,,1,1,0,0,0,1,1,0,0,0,1
349_glutamine_synthetase...faa,,,,,,,,,,,,,,1,1,1,0,0,1,1,1,1,0,1
351_IMS_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0
352_ATP-binding_cassette...faa,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,0,1,1
353_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
354_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
357_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
359_sugar_ABC_transporte...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
360_sugar_ABC_transporte...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
361_HEAT_repeat_domain-c...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
362_Uma2_family_endonucl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
363_carbohydrate_ABC_tra...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
364_ugpC.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
367_DUF4332_domain-conta...faa,,,,,,,,,,,,,,1,0,1,1,0,1,1,1,1,1,1
369_Uma2_family_endonucl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
371_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1
376_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
377_DUF4351_domain-conta...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
378_ATP-grasp_domain-con...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
379_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
380_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
381_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
382_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
383_dihydrofolate_reduct...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
384_SRPBCC_family_protei...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
385_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
386_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
387_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
388_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
389_NB-ARC_domain-contai...faa,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,1
390_DUF1636_domain-conta...faa,,,,,,,,,,,,,,1,1,1,1,0,1,1,0,0,1,1
391_tetratricopeptide_re...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
392_GTP-binding_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
393_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
394_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
397_YqeG_family_HAD_IIIA...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
402_serine_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
403_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
404_AAA_family_ATPase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
405_response_regulator.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
406_-2Fe-2S-_ferredoxin_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0
407_DUF952_domain-contai...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0
409_TIGR02452_family_pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
410_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
412_transcriptional_repr...faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,0,0
415_photosystem_I_reacti...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1
416_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
417_glycosyltransferase_...faa,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0
418_acetyltransferase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
419_VOC_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
420_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
421_Fic_family_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,1
422_three-Cys-motif_part...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
423_phage_Gp37-Gp68_fami...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
425_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
426_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
427_nuclear_transport_fa...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1
428_Nif11-like_leader_pe...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
429_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
430_SDR_family_oxidoredu...faa,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,0
431_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
432_TetR-AcrR_family_tra...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
433_GMC_family_oxidoredu...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
434_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
435_HpsJ_family_protein.faa,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,1,1
436_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
437_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
438_crtA.faa,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,1,1
439_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
442_nucleotidyltransfera...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
445_DedA_family_protein.faa,,,,,,,,,,,,,,1,1,0,0,0,0,1,1,0,1,1
449_GNAT_family_N-acetyl...faa,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,0,0
452_carbonic_anhydrase.faa,,,,,,,,,,,,,,1,1,0,0,0,0,1,1,0,1,1
454_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
456_HAD_family_hydrolase.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
