source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Pseudoanabaena_clade/pangenoma	Pseudanabaena_sp_ABRG5-3_GCF_003967015.1_genomic.gbff	Pseudanabaena_sp_PCC_7367_GCF_000317065.1_genomic.gbff	Synechococcus_sp_JA-2-3Ba_2-13_JA-2-3Ba_2-13_GCF_000013225.1_genomic.gbff	Synechococcus_sp_JA-3-3Ab_GCF_000013205.1_genomic.gbff	Synechococcus_sp_PCC_7336_GCF_000332275.1_genomic.gbff	Synechococcus_sp_PCC_7502_GCF_000317085.1_genomic.gbff	
160_thioesterase_domain-...faa	1	0	0	0	0	0	
165_oligosaccharide_flip...faa	1	0	0	0	0	0	
166_glycosyltransferase.faa	2	0	0	0	0	0	
167_O-antigen_polysaccha...faa	1	0	0	0	0	0	
168_hypothetical_protein.faa	1	0	0	0	0	0	
170_glycosyltransferase_...faa	1	1	0	0	0	0	
171_glycosyltransferase_...faa	1	1	0	0	0	0	
172_NAD-dependent_epimer...faa	1	1	0	0	0	0	
173_hypothetical_protein.faa	1	0	0	0	0	0	
174_NAD-dependent_epimer...faa	1	1	0	0	1	0	
175_hypothetical_protein.faa	1	0	0	0	0	0	
176_HigA_family_addictio...faa	1	0	0	0	0	0	
177_type_II_toxin-antito...faa	1	0	0	0	0	0	
178_hypothetical_protein.faa	1	0	0	0	0	0	
179_pentapeptide_repeat-...faa	1	0	0	0	0	0	
180_restriction_endonucl...faa	1	0	0	0	0	0	
181_type_II_toxin-antito...faa	2	0	0	0	0	1	
182_hypothetical_protein.faa	2	0	0	0	0	0	
183_hypothetical_protein.faa	1	0	0	0	0	0	
184_hypothetical_protein.faa	1	0	0	0	0	0	
185_NADP-dependent_isoci...faa	1	0	0	0	0	0	
187_AAA_family_ATPase.faa	1	0	0	0	0	0	
188_type_I_restriction_e...faa	1	0	0	0	1	0	
189_hypothetical_protein.faa	1	0	0	0	0	0	
190_hypothetical_protein.faa	1	0	0	0	0	0	
191_XisH_family_protein.faa	1	0	0	0	0	0	
192_XisI_protein.faa	1	0	0	0	0	0	
193_DUF4365_and_DUF1817_...faa	1	0	0	0	0	0	
194_hypothetical_protein.faa	1	0	0	0	0	0	
195_DUF433_domain-contai...faa	3	0	0	0	0	0	
196_DUF5615_family_PIN-l...faa	2	0	0	0	1	0	
197_hypothetical_protein.faa	2	0	0	0	0	1	
201_YqaE-Pmp3_family_mem...faa	1	0	0	0	0	1	
202_histidine_kinase.faa	1	0	0	0	0	1	
204_YtxH_domain-containi...faa	1	0	0	0	0	2	
205_hypothetical_protein.faa	1	0	0	0	0	1	
206_PRC-barrel_domain-co...faa	1	0	0	0	0	1	
207_IS5_family_transposa...faa	8	0	0	0	1	1	
208_hypothetical_protein.faa	1	0	0	0	0	0	
209_nucleotidyltransfera...faa	1	0	0	0	0	1	
210_DUF86_domain-contain...faa	1	0	0	0	1	1	
211_hypothetical_protein.faa	1	0	0	0	0	0	
212_CRISPR-associated_pr...faa	1	0	0	0	0	0	
213_cas7d.faa	1	0	0	0	1	0	
214_cas5d.faa	1	0	0	0	1	0	
215_cas3.faa	1	0	0	0	0	0	
216_hypothetical_protein.faa	1	0	0	0	0	0	
218_Uma2_family_endonucl...faa	1	0	0	0	0	0	
219_hypothetical_protein.faa	1	0	0	0	0	0	
220_cas6.faa	1	0	0	0	1	0	
221_cas4.faa	1	1	0	0	1	0	
222_cas1d.faa	1	1	1	0	1	1	
224_transposase.faa	1	0	0	0	0	0	
225_hypothetical_protein.faa	1	0	0	0	0	0	
226_hypothetical_protein.faa	1	0	0	0	0	0	
227_hypothetical_protein.faa	1	0	0	0	0	0	
229_TetR-AcrR_family_tra...faa	1	0	0	0	0	0	
230_DUF1349_domain-conta...faa	1	0	0	0	0	0	
231_response_regulator_t...faa	1	0	0	0	0	0	
232_MFS_transporter.faa	1	0	0	0	0	0	
233_DMT_family_transport...faa	2	0	0	0	0	0	
235_MarR_family_transcri...faa	1	0	0	0	0	0	
236_CPBP_family_glutamic...faa	1	0	0	0	0	0	
237_ATP-binding_protein.faa	1	0	0	0	0	0	
238_hypothetical_protein.faa	1	0	0	0	0	0	
239_hypothetical_protein.faa	1	0	0	0	0	0	
240_WYL_domain-containin...faa	1	0	0	0	1	1	
241_transposase.faa	1	0	0	0	0	0	
242_energy_transducer_To...faa	1	0	0	0	0	0	
245_condensation_domain-...faa	1	0	0	0	0	0	
246_LLM_class_flavin-dep...faa	1	0	0	0	1	0	
248_non-ribosomal_peptid...faa	1	0	0	0	0	0	
249_phosphopantetheine-b...faa	1	0	0	0	0	0	
250_MFS_transporter.faa	1	1	0	0	0	0	
251_salicylate_synthase.faa	1	0	0	0	0	0	
252_benzoate-CoA_ligase_...faa	1	0	0	0	0	0	
253_acyl_carrier_protein.faa	1	0	0	0	0	0	
254_thioesterase_II_fami...faa	1	0	0	0	1	0	
255_hypothetical_protein.faa	1	0	0	0	0	0	
256_TonB-dependent_sider...faa	1	2	0	0	1	0	
257_iron_ABC_transporter...faa	1	1	0	0	1	0	
260_iron-siderophore_ABC...faa	1	1	0	0	1	0	
261_SDR_family_NAD-P--de...faa	3	0	0	0	0	0	
262_hypothetical_protein.faa	1	0	0	0	0	0	
264_AAA_family_ATPase.faa	4	0	0	0	3	0	
265_hypothetical_protein.faa	1	0	0	0	0	0	
266_hypothetical_protein.faa	1	0	0	0	0	0	
267_cynS.faa	2	1	0	0	1	1	
268_ABC_transporter_ATP-...faa	1	1	0	0	1	1	
269_ntrB.faa	1	1	0	0	1	0	
270_ABC_transporter_subs...faa	1	3	0	0	1	1	
271_response_regulator.faa	1	0	0	0	0	0	
272_PAS_domain-containin...faa	1	0	0	0	0	0	
274_ABC_transporter_subs...faa	1	0	0	0	1	0	
275_ABC_transporter_perm...faa	1	0	0	0	1	0	
276_ABC_transporter_ATP-...faa	1	0	0	0	1	1	
277_LysR_substrate-bindi...faa	1	0	0	0	1	0	
278_fumarate_reductase-s...faa	1	0	0	0	1	0	
279_ferredoxin_family_pr...faa	1	0	0	0	1	0	
280_HEAT_repeat_domain-c...faa	1	0	0	0	1	0	
281_Mrp-NBP35_family_ATP...faa	1	0	0	0	1	0	
282_YeiH_family_protein.faa	1	0	0	0	1	0	
283_sulfite_exporter_Tau...faa	1	1	0	0	1	0	
284_hypothetical_protein.faa	1	0	0	0	0	0	
285_Cof-type_HAD-IIB_fam...faa	3	1	0	0	1	0	
286_hypothetical_protein.faa	2	0	0	0	0	0	
288_cupredoxin_domain-co...faa	2	0	0	0	0	0	
290_hypothetical_protein.faa	1	0	0	0	0	0	
292_ATP-binding_protein.faa	2	1	1	0	0	1	
293_efflux_RND_transport...faa	1	0	0	0	1	1	
294_MFS_transporter.faa	1	2	0	0	0	2	
295_glycoside_hydrolase_...faa	1	0	0	0	0	0	
296_efflux_RND_transport...faa	2	1	0	0	1	1	
297_cobalt_transporter.faa	1	0	0	0	0	0	
300_YnfA_family_protein.faa	1	0	0	0	0	0	
301_metal_transporter.faa	1	0	0	0	1	0	
302_multicopper_oxidase_...faa	1	0	0	0	1	0	
303_heavy_metal_transloc...faa	1	0	0	0	0	0	
304_precorrin-8X_methylm...faa	1	0	0	0	0	0	
307_class_I_SAM-dependen...faa	2	0	0	0	0	1	
308_heavy_metal_transloc...faa	1	0	0	0	1	0	
309_metalloregulator_Ars...faa	1	0	0	0	0	0	
310_multicopper_oxidase_...faa	1	1	0	0	1	0	
311_hypothetical_protein.faa	1	0	0	0	0	0	
312_hypothetical_protein.faa	1	0	0	0	0	0	
314_hypothetical_protein.faa	1	0	0	0	0	0	
315_hypothetical_protein.faa	1	0	0	0	0	0	
317_hypothetical_protein.faa	1	0	0	0	0	0	
318_DUF305_domain-contai...faa	1	0	0	0	0	0	
319_hypothetical_protein.faa	1	0	0	0	0	0	
320_hypothetical_protein.faa	1	0	0	0	1	1	
322_IS5_family_transposa...faa	1	0	0	0	9	1	
323_helix-turn-helix_dom...faa	2	0	0	0	0	0	
324_hypothetical_protein.faa	2	0	0	0	0	0	
325_hypothetical_protein.faa	2	0	0	0	0	0	
326_hypothetical_protein.faa	2	0	0	0	0	0	
327_hypothetical_protein.faa	2	0	0	0	0	0	
328_hypothetical_protein.faa	2	0	0	0	0	0	
329_hypothetical_protein.faa	2	0	0	0	0	0	
330_hypothetical_protein.faa	1	0	0	0	0	0	
331_hypothetical_protein.faa	1	0	0	0	0	0	
332_hypothetical_protein.faa	1	0	0	0	0	0	
333_type_IV_secretory_sy...faa	1	0	0	0	0	0	
334_hypothetical_protein.faa	1	0	0	0	0	0	
335_hypothetical_protein.faa	1	0	0	0	0	0	
336_topA.faa	2	0	0	0	0	0	
337_hypothetical_protein.faa	2	0	0	0	0	0	
338_hypothetical_protein.faa	2	0	0	0	0	0	
339_YHYH_domain-containi...faa	1	0	0	0	0	0	
340_class_I_SAM-dependen...faa	1	0	0	0	0	2	
341_hypothetical_protein.faa	1	0	0	0	0	0	
342_hypothetical_protein.faa	2	0	0	0	0	0	
343_DUF4926_domain-conta...faa	2	0	0	0	0	0	
345_ATP-dependent_RecD-l...faa	1	0	0	0	0	1	
346_peptidoglycan-bindin...faa	1	0	0	0	0	0	
347_VOC_family_protein.faa	2	0	0	0	1	0	
348_Y-family_DNA_polymer...faa	1	1	0	0	0	0	
349_hypothetical_protein.faa	3	0	0	0	0	0	
350_alpha-beta_hydrolase.faa	1	0	0	0	0	0	
351_TfoX-Sxy_family_prot...faa	1	0	0	0	0	0	
352_relaxase-mobilizatio...faa	2	0	0	0	0	0	
353_plasmid_mobilization...faa	2	0	0	0	0	0	
354_hypothetical_protein.faa	2	0	0	0	0	0	
355_mobilization_protein...faa	1	2	0	0	0	0	
356_hypothetical_protein.faa	2	0	0	0	0	0	
357_hypothetical_protein.faa	2	0	0	0	0	0	
358_LysM_peptidoglycan-b...faa	2	0	0	0	0	0	
359_DUF3854_domain-conta...faa	1	1	0	0	0	1	
360_hypothetical_protein.faa	1	0	0	0	0	0	
361_ThiF_family_adenylyl...faa	1	0	0	0	0	0	
362_Mov34-MPN-PAD-1_fami...faa	1	0	0	0	0	0	
363_hypothetical_protein.faa	2	0	0	0	0	0	
364_hypothetical_protein.faa	2	0	0	0	0	0	
365_hypothetical_protein.faa	2	0	0	0	0	0	
366_hypothetical_protein.faa	2	0	0	0	0	0	
367_hypothetical_protein.faa	2	0	0	0	0	0	
368_hypothetical_protein.faa	2	0	0	0	0	0	
369_single-stranded_DNA-...faa	2	0	0	0	0	0	
370_hypothetical_protein.faa	2	0	0	0	0	0	
371_AAA_family_ATPase.faa	2	0	0	0	0	0	
372_VWA_domain-containin...faa	1	0	0	0	0	0	
373_MoxR_family_ATPase.faa	1	0	0	0	0	0	
374_hypothetical_protein.faa	1	0	0	0	0	0	
375_hypothetical_protein.faa	1	0	0	0	0	0	
376_hypothetical_protein.faa	1	0	0	0	0	0	
377_hypothetical_protein.faa	1	0	0	0	0	0	
378_hypothetical_protein.faa	1	0	0	0	0	0	
379_hypothetical_protein.faa	1	0	0	0	0	0	
380_DEAD-DEAH_box_helica...faa	2	0	0	0	0	0	
381_SAM-dependent_methyl...faa	2	0	0	0	0	0	
382_class_I_SAM-dependen...faa	1	0	0	0	0	0	
383_hypothetical_protein.faa	2	0	0	0	0	0	
384_hypothetical_protein.faa	2	0	0	0	0	0	
385_Rho_termination_fact...faa	2	0	0	0	0	0	
386_hypothetical_protein.faa	2	0	0	0	0	0	
387_hypothetical_protein.faa	2	0	0	0	0	0	
388_hypothetical_protein.faa	2	0	0	0	0	0	
390_hypothetical_protein.faa	1	0	0	0	0	0	
391_hypothetical_protein.faa	1	0	0	0	0	0	
392_hypothetical_protein.faa	1	0	0	0	0	0	
393_hypothetical_protein.faa	1	0	0	0	0	0	
395_cysteine_desulfurase.faa	1	0	0	0	0	0	
396_protein_kinase.faa	1	0	0	0	0	0	
397_DUF262_domain-contai...faa	1	0	0	0	0	0	
398_FtsK-SpoIIIE_domain-...faa	1	0	0	0	0	0	
399_hypothetical_protein.faa	1	0	0	0	0	0	
400_hypothetical_protein.faa	1	0	0	0	0	0	
401_hypothetical_protein.faa	1	0	0	0	0	0	
402_hypothetical_protein.faa	1	0	0	0	0	0	
404_hypothetical_protein.faa	1	0	0	0	0	0	
405_hypothetical_protein.faa	1	0	0	0	0	0	
406_type_II_toxin-antito...faa	1	0	0	0	0	0	
407_hypothetical_protein.faa	1	0	0	0	0	0	
408_DUF4007_family_prote...faa	1	0	0	0	0	0	
409_element_excision_fac...faa	5	0	0	0	0	0	
410_XisI_protein.faa	5	0	0	0	0	0	
411_hypothetical_protein.faa	1	0	0	0	0	0	
412_DNA_phosphorothioati...faa	1	0	0	0	0	0	
413_hypothetical_protein.faa	2	0	0	0	0	0	
414_hypothetical_protein.faa	2	0	0	0	0	0	
415_hypothetical_protein.faa	1	0	0	0	0	0	
417_tyrosine-type_recomb...faa	2	0	0	0	0	0	
418_DUF1565_domain-conta...faa	1	1	0	0	0	1	
421_DUF1824_family_prote...faa	1	1	0	0	1	0	
423_late_competence_deve...faa	1	1	0	0	0	1	
425_MFS_transporter.faa	1	0	0	0	0	1	
427_ureidoglycolate_lyas...faa	1	1	1	0	1	0	
428_hypothetical_protein.faa	1	0	0	0	0	0	
432_outer_membrane_beta-...faa	1	1	0	0	0	0	
434_C39_family_peptidase.faa	1	0	0	0	0	0	
435_VTT_domain-containin...faa	1	0	0	0	0	1	
436_endonuclease-exonucl...faa	1	0	0	0	0	0	
437_serine-threonine_pro...faa	1	0	0	0	0	0	
438_Uma2_family_endonucl...faa	2	0	1	0	0	0	
441_WD40_repeat_domain-c...faa	1	1	0	0	0	0	
442_hypothetical_protein.faa	1	0	0	0	0	0	
443_hypothetical_protein.faa	1	0	0	0	0	0	
445_superoxide_dismutase...faa	1	0	0	0	0	0	
446_hypothetical_protein.faa	1	0	0	0	1	1	
447_sulfite_exporter_Tau...faa	1	0	0	0	1	1	
448_CHAT_domain-containi...faa	1	0	0	0	0	0	
449_NB-ARC_domain-contai...faa	1	0	0	0	0	0	
450_hypothetical_protein.faa	1	0	0	0	0	0	
451_S--hydroxymethyl-glu...faa	1	0	0	0	1	1	
456_glycosyltransferase_...faa	1	0	0	0	0	0	
457_glycosyltransferase_...faa	1	0	0	0	0	0	
458_Era-like_GTP-binding...faa	1	0	0	0	0	0	
459_hypothetical_protein.faa	1	0	0	0	0	0	
463_hypothetical_protein.faa	1	0	0	0	0	0	
464_GTP-binding_protein.faa	1	0	0	0	0	0	
465_hisI.faa	2	0	0	0	0	0	
466_hypothetical_protein.faa	2	0	0	0	0	0	
467_FAD-NAD-P--binding_p...faa	1	0	0	0	0	0	
468_GTP-binding_protein.faa	1	0	0	0	0	0	
469_metallophosphatase_f...faa	2	0	0	0	0	0	
471_GTP-binding_protein.faa	2	2	0	0	1	1	
472_ABC_transporter_ATP-...faa	1	0	0	0	1	1	
474_Rpn_family_recombina...faa	4	0	0	0	0	0	
475_NADAR_family_protein.faa	1	0	0	0	0	0	
476_ATP-binding_protein.faa	1	0	0	0	0	0	
477_GAF_domain-containin...faa	1	0	0	0	0	0	
478_hypothetical_protein.faa	1	0	0	0	0	0	
480_PAS_domain-containin...faa	1	0	0	0	0	0	
481_tetratricopeptide_re...faa	17	0	0	0	0	1	
482_trypsin-like_serine_...faa	1	0	0	0	0	0	
483_PAS_domain_S-box_pro...faa	1	0	0	0	0	0	
484_DEAD-DEAH_box_helica...faa	1	0	0	0	0	0	
485_response_regulator.faa	1	0	0	0	0	0	
486_response_regulator.faa	1	0	0	0	1	0	
487_hybrid_sensor_histid...faa	1	0	0	0	0	0	
488_response_regulator.faa	1	1	0	0	0	0	
489_ATP-binding_protein.faa	1	0	0	0	0	0	
490_ion_channel.faa	1	1	0	0	1	1	
491_YdiU_family_protein.faa	1	1	0	0	0	1	
492_pseudouridine_syntha...faa	1	0	0	0	0	0	
495_YbjN_domain-containi...faa	1	0	0	0	0	0	
496_YbjN_domain-containi...faa	2	1	0	0	1	1	
497_ABC_transporter_subs...faa	1	0	0	0	0	0	
499_hypothetical_protein.faa	1	1	0	0	0	0	
500_hypothetical_protein.faa	1	1	0	0	0	0	
503_PRC-barrel_domain-co...faa	1	1	0	0	0	1	
505_nucleotidyltransfera...faa	5	1	0	0	1	1	
506_HEPN_domain-containi...faa	4	0	0	0	0	2	
507_hypothetical_protein.faa	1	0	0	0	0	0	
508_hypothetical_protein.faa	1	0	0	0	0	0	
509_Txe-YoeB_family_addi...faa	1	0	0	0	0	0	
510_prevent-host-death_p...faa	1	0	0	0	0	0	
511_PIN_domain-containin...faa	1	0	0	0	0	0	
512_hypothetical_protein.faa	1	0	0	0	0	0	
513_type_II_toxin-antito...faa	1	1	0	0	1	0	
514_type_II_toxin-antito...faa	1	0	0	0	0	0	
517_hypothetical_protein.faa	1	0	0	0	0	0	
518_hypothetical_protein.faa	1	0	0	0	0	0	
519_IS630_transposase-re...faa	11	0	0	0	0	1	
520_hypothetical_protein.faa	1	0	0	0	0	0	
521_type_II_toxin-antito...faa	4	0	0	0	1	0	
522_hypothetical_protein.faa	1	0	0	0	0	0	
523_heme_oxygenase_-bili...faa	1	0	0	0	1	1	
524_hemN.faa	1	0	0	0	0	0	
525_bacteriohemerythrin.faa	2	0	0	0	0	0	
526_acsF.faa	1	0	0	0	1	1	
529_HNH_endonuclease.faa	1	0	0	0	0	0	
530_hypothetical_protein.faa	3	0	0	0	0	0	
531_AbrB-MazE-SpoVT_fami...faa	1	0	0	0	0	1	
532_mazF.faa	1	0	0	0	0	1	
534_hypothetical_protein.faa	1	0	0	0	0	0	
535_IS630_transposase-re...faa	1	0	0	0	0	0	
536_IS630_family_transpo...faa	1	0	0	0	0	0	
537_hypothetical_protein.faa	1	0	0	0	0	0	
538_type_II_toxin-antito...faa	1	0	0	0	0	1	
539_AbrB-MazE-SpoVT_fami...faa	1	0	0	0	0	2	
540_hypothetical_protein.faa	1	0	0	0	0	0	
542_glmM.faa	1	1	0	0	0	1	
543_PAS_domain-containin...faa	1	0	0	0	0	0	
544_response_regulator.faa	1	0	0	0	0	0	
545_EAL_domain-containin...faa	1	0	0	0	0	0	
547_PAS_domain_S-box_pro...faa	3	0	0	0	0	0	
548_PAS_domain_S-box_pro...faa	1	0	0	0	0	0	
549_PAS_domain_S-box_pro...faa	1	0	0	0	0	0	
550_response_regulator.faa	1	0	0	0	0	0	
551_GAF_domain-containin...faa	2	0	0	0	0	1	
552_NAD-P--dependent_oxi...faa	1	1	0	0	0	1	
554_GDSL-type_esterase-l...faa	1	0	0	0	0	0	
555_pyridoxamine_5--phos...faa	1	1	0	0	1	0	
557_3-isopropylmalate_de...faa	1	1	0	0	0	1	
559_thermonuclease_famil...faa	1	1	0	0	0	1	
560_pentapeptide_repeat-...faa	1	1	0	0	0	0	
562_hypothetical_protein.faa	7	0	1	0	0	0	
563_AraC_family_transcri...faa	1	0	0	0	0	0	
564_TMEM175_family_prote...faa	1	0	0	0	0	0	
565_aldo-keto_reductase.faa	1	0	0	0	0	0	
571_DUF1574_family_prote...faa	1	1	0	0	0	0	
572_sensor_domain-contai...faa	1	0	0	0	0	0	
575_rnhA.faa	1	0	0	0	0	0	
576_Uma2_family_endonucl...faa	2	0	0	0	0	0	
577_NYN_domain-containin...faa	1	0	0	0	1	0	
578_helix-turn-helix_dom...faa	1	0	0	0	1	0	
